X1_f1,X1_f2,X1_f3,X1_f4,X1_f5,X1_f6,X1_f7,X1_f8,X1_f9,X1_f10,X1_f11,X1_f12,X1_f13,X1_f14,X1_f15,X2_f1,X2_f2,X2_f3,X2_f4,X2_f5,X2_f6,X2_f7,X2_f8,X2_f9,X2_f10,label,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
0.0,0.2711111111111111,0.0,0.0,0.0,0.6923076923076923,0.0,0.043859649122807015,0.0,0.0,0.014925373134328358,1.0,0.0,0.101,0.0,1.2356426051520626,1.7157965684503216,1.2777757720748244,1.4287562908661995,1.1959023027547568,1.6375370087639294,1.616827228805275,1.6759107769936985,0.9059201241907073,0.7035457814947992,-1.0,514.0,325.0,204.0,10.0,521.0,13.0,613.0,374.0,286.0,563.0
1.0,0.713015873015873,0.15928571428571428,0.0,0.0,0.6153846153846154,0.125,0.10666666666666667,0.0,0.0,0.08955223880597014,1.0,0.0,0.0215,0.0056,1.849450618651431,3.111536738515989,2.3823186815439996,1.7892566088136008,1.899922574111021,2.0743922948699804,2.1631309175789544,2.638763754631841,1.4688605027121038,1.4850945464901548,-1.0,562.0,497.0,258.0,356.0,473.0,320.0,583.0,457.0,495.0,505.0
1.0,0.17063492063492064,0.017857142857142856,0.0,0.0,0.6153846153846154,0.125,0.05263157894736842,0.0,1.0,0.0,1.0,0.0,0.14,0.00824,1.3960096523971868,2.938775292712416,2.9016776354929976,2.2878957909353974,2.4348343523669733,1.8784416826784949,1.8355031487496292,2.6492270285520156,1.03331235574431,2.2929176600683934,-1.0,249.0,627.0,32.0,319.0,346.0,184.0,566.0,609.0,209.0,532.0
0.0,0.22349206349206346,0.055,0.0,0.0,0.6923076923076923,0.0,0.13157894736842105,0.0,0.0,0.07462686567164178,0.0,0.0,0.05,3e-05,1.0422313638292051,0.9531954618533842,0.4558552082315102,0.6960550401539646,0.3962482978652203,0.7925154598088653,0.6949922373321145,0.9822493519063477,0.7963503142593472,0.5816214009904468,-1.0,193.0,443.0,577.0,449.0,490.0,387.0,463.0,302.0,132.0,456.0
0.0,0.10190476190476193,0.20089285714285715,0.0,0.0,0.6923076923076923,0.0,0.06,0.0,1.0,0.0,1.0,1.0,0.06,0.0,1.7892785676181486,2.831097814113388,2.5661815891974524,2.378247762190459,2.951042599607516,2.0889508523269322,2.758890494603812,3.0892607621084753,1.8989193371889266,2.512771414349299,-1.0,177.0,108.0,479.0,407.0,121.0,449.0,333.0,574.0,639.0,283.0
0.0,0.2909523809523809,0.14285714285714285,0.0,0.0,0.46153846153846156,0.0,0.08771929824561403,0.0,1.0,0.0,0.0,0.0,0.18,0.0,1.0954668538338332,1.1747485348927154,1.2581331826560498,1.2103454171442145,1.3258098731857055,0.7703915055558912,0.9195447986313898,1.3949901034733279,0.8650856744911215,1.4154261797880825,-1.0,65.0,446.0,371.0,393.0,383.0,88.0,505.0,56.0,508.0,403.0
0.0,0.3082539682539683,0.037142857142857144,0.0,0.0,0.5384615384615384,0.125,0.22807017543859648,0.0,1.0,0.0,0.0,0.0,0.082,0.31285,1.2955581918864754,1.3426657750382474,1.3140736481099589,1.6801156487070221,1.40676153935886,1.2905255102934714,1.094648277231886,1.5833403209139822,1.0270728148065233,1.6367088426429266,-1.0,438.0,562.0,281.0,145.0,392.0,429.0,172.0,292.0,577.0,544.0
1.0,0.14555555555555558,0.41375,0.0,0.0,0.15384615384615385,0.0,0.0014035087719298247,0.0,1.0,0.0,1.0,0.0,0.04,0.01349,1.1426756678761918,2.5327819927487067,2.8920996471710505,1.8399282141531028,2.385849608130807,1.4277418100546353,1.7732998200694288,2.315864762811279,0.8895290367628663,2.166069397577987,-1.0,173.0,67.0,447.0,443.0,285.0,169.0,416.0,289.0,48.0,579.0
0.0,0.6455555555555555,0.017857142857142856,0.5,0.5,0.38461538461538464,0.125,0.13894736842105262,0.0,1.0,0.0,1.0,0.0,0.09,0.00314,2.0967798521928995,3.1261129354996973,2.797487256438403,2.4309387307211066,2.7599850608846546,2.6964565046886197,2.653889813818732,3.020832761156438,1.7035982780820278,1.7838446021410823,-1.0,360.0,127.0,138.0,283.0,202.0,644.0,642.0,44.0,617.0,186.0
0.0,0.45634920634920634,0.1755357142857143,0.5,0.5,0.6923076923076923,0.0,0.11105263157894738,0.0,1.0,0.0,0.0,0.0,0.026,0.01442,2.052087855056111,2.461843458885037,1.957535901710007,1.6903802910992236,1.8705211624533282,1.798675584173235,1.7159372827650778,2.3950075332721226,1.551607647347004,1.8507229357921047,-1.0,491.0,498.0,308.0,618.0,333.0,124.0,539.0,112.0,105.0,204.0
