Summary Results (AUC)
Dataset,Best Alpha,Avg AUC,Std AUC,Avg Accuracy,Std Accuracy,Avg Density,Std Density,Avg Sparsity,Std Sparsity
books,1.9,80.642,0.521,72.540,0.423,0.960,0.003,0.040,0.003
dvd,1.9,82.041,0.385,74.220,0.395,0.969,0.005,0.031,0.005
electronics,1.9,86.788,0.284,78.030,0.289,0.978,0.003,0.022,0.003
kitchen,1.9,88.336,0.408,79.930,0.583,0.978,0.003,0.022,0.003

Detailed Results by Shuffle
Dataset,Shuffle,AUC,Accuracy,Sparsity,Density
books,1,80.645,72.300,0.039,0.961
books,2,81.360,73.000,0.041,0.959
books,3,80.109,72.150,0.035,0.965
books,4,80.183,72.250,0.045,0.955
books,5,80.916,73.000,0.040,0.960
dvd,1,82.626,74.450,0.024,0.976
dvd,2,82.104,74.400,0.032,0.968
dvd,3,81.642,73.800,0.035,0.965
dvd,4,82.082,74.650,0.037,0.963
dvd,5,81.749,73.800,0.028,0.972
electronics,1,86.837,77.850,0.023,0.977
electronics,2,87.088,78.000,0.024,0.976
electronics,3,87.000,78.500,0.021,0.979
electronics,4,86.388,77.750,0.018,0.982
electronics,5,86.629,78.050,0.025,0.975
kitchen,1,88.861,80.500,0.025,0.975
kitchen,2,87.921,79.650,0.019,0.981
kitchen,3,88.127,79.600,0.024,0.976
kitchen,4,88.094,79.300,0.021,0.979
kitchen,5,88.675,80.600,0.021,0.979
