Summary Results (AUC)
Dataset,Best Alpha,Avg AUC,Std AUC,Avg Accuracy,Std Accuracy,Avg Sparsity,Std Sparsity,Avg Density,Std Density
books,1.9,80.496,0.529,72.370,0.562,0.151,0.002,0.849,0.002
dvd,1.9,81.910,0.391,74.150,0.461,0.158,0.008,0.842,0.008
electronics,1.9,86.703,0.280,77.970,0.331,0.117,0.005,0.883,0.005
kitchen,1.9,88.251,0.409,79.900,0.576,0.100,0.013,0.900,0.013

Detailed Results by Shuffle
Dataset,Shuffle,AUC,Accuracy,Sparsity,Density
books,1,80.510,71.900,0.153,0.847
books,2,81.231,73.100,0.149,0.851
books,3,79.954,71.950,0.151,0.849
books,4,80.031,72.050,0.150,0.850
books,5,80.755,72.850,0.154,0.846
dvd,1,82.503,74.300,0.159,0.841
dvd,2,81.983,74.400,0.165,0.835
dvd,3,81.502,73.600,0.159,0.841
dvd,4,81.947,74.700,0.163,0.837
dvd,5,81.613,73.750,0.145,0.855
electronics,1,86.752,77.700,0.115,0.885
electronics,2,86.993,77.900,0.115,0.885
electronics,3,86.918,78.500,0.112,0.888
electronics,4,86.311,77.700,0.126,0.874
electronics,5,86.541,78.050,0.119,0.881
kitchen,1,88.784,80.500,0.084,0.916
kitchen,2,87.843,79.800,0.099,0.901
kitchen,3,88.035,79.600,0.091,0.909
kitchen,4,88.007,79.150,0.113,0.887
kitchen,5,88.586,80.450,0.112,0.888
