Mode,Dataset,Preq_Mean,Preq_Std,Cum_Mean,Cum_Std
TDS,Australian,0.5052173913043478,0.002839988107574714,0.5052173913043478,0.002839988107574714
TDS,Ionosphere,0.7139601139601139,0.01189778519533968,0.7139601139601139,0.01189778519533968
TDS,German,0.6864000000000001,0.007116178749862837,0.6864000000000001,0.007116178749862837
TDS,SVMGuide3,0.6209999999999999,0.1192241586256745,0.6267095736122285,0.17562037743017606
TDS,Spambase,0.9314,0.011859173664298846,0.7677461421430124,0.008384636768882509
TDS,Magic04,1.0,0.0,0.9999,0.0
TDS,Musk,1.0,0.0,0.9981206426189754,0.0022225283758500634
TDS,InternetAds,0.9984,0.0004898979485566361,0.9895718524798645,0.0038349072922081087
TDS,Adult,0.8102,0.005114684741017722,0.7760400000000001,0.0024418026128252075
TDS,w8a,0.9128000000000001,0.005844655678480988,0.7917799999999999,0.002146997904051164
TDS,RCV1,0.9174,0.0062481997407253295,0.79952,0.004816803919613087
CDS,Australian,0.5304347826086957,0.01293026552069305,0.5304347826086957,0.01293026552069305
CDS,Ionosphere,0.6712250712250712,0.04731746892769619,0.6712250712250712,0.04731746892769619
CDS,German,0.6128,0.01832375507367419,0.6128,0.01832375507367419
CDS,SVMGuide3,0.7017999999999999,0.004400000000000004,0.7502815768302493,0.006742502603300677
CDS,Spambase,0.9747999999999999,0.0059126981996377986,0.9497935231471419,0.010893252846026233
CDS,Magic04,0.9945999999999999,0.002653299832284322,0.9909000000000001,0.0029482198018465425
CDS,Musk,0.9992000000000001,0.001166190378969061,0.9925431949075477,0.001573317886918582
CDS,InternetAds,0.9874,0.004317406628984584,0.962356930902925,0.002880082704783909
CDS,Adult,0.7996000000000001,0.004498888751680801,0.77886,0.002605071975973021
CDS,w8a,0.8865999999999999,0.008662563131083094,0.8065,0.002606913884270043
CDS,RCV1,0.8904,0.014249210504445513,0.8093999999999999,0.010386337179198442
EDS,Australian,0.5368115942028987,0.0021690767459559036,0.5368115942028987,0.0021690767459559036
EDS,Ionosphere,0.7048433048433047,0.019289243167875492,0.7048433048433047,0.019289243167875492
EDS,German,0.6704,0.00917823512446702,0.6704,0.00917823512446702
EDS,SVMGuide3,0.6552,0.08981403008439161,0.6650040225261464,0.14279965553578733
EDS,Spambase,0.9785999999999999,0.019865548066942445,0.8432949358835036,0.007209797344564827
EDS,Magic04,1.0,0.0,0.89316,0.0034759746834521015
EDS,Musk,1.0,0.0,0.9960897241588361,0.002336991241878897
EDS,InternetAds,0.9987999999999999,0.000748331477354789,0.9894870707927088,0.003916510203459472
EDS,Adult,0.7382,0.014510685717773655,0.75362,0.00990644234829035
EDS,w8a,0.8545999999999999,0.007578918128598574,0.7876200000000001,0.002972810118389666
EDS,RCV1,0.7756000000000001,0.014677874505527032,0.75004,0.006760650856241593
