Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
10,0.48,0.1686548085423136,0.48,0.1686548085423136,0.00361,0.004418257575108088,200.0,0.0
20,0.5549999999999999,0.14615440845595837,0.5549999999999999,0.14615440845595837,0.00361,0.004418257575108088,200.0,0.0
30,0.5933333333333333,0.11737877907772672,0.5933333333333333,0.11737877907772672,0.00361,0.004418257575108088,200.0,0.0
40,0.6125,0.12147816447594381,0.6125,0.12147816447594381,0.00361,0.004418257575108088,200.0,0.0
50,0.626,0.09663217775553741,0.626,0.09663217775553741,0.00361,0.004418257575108088,200.0,0.0
60,0.6316666666666666,0.07430750257054534,0.6316666666666666,0.07430750257054534,0.00361,0.004418257575108088,200.0,0.0
70,0.6357142857142857,0.066751646518458,0.6357142857142857,0.066751646518458,0.00361,0.004418257575108088,200.0,0.0
80,0.6475,0.06503204338375555,0.6475,0.06503204338375555,0.00361,0.004418257575108088,200.0,0.0
90,0.6488888888888888,0.06588013390921234,0.6488888888888888,0.06588013390921234,0.00361,0.004418257575108088,200.0,0.0
100,0.653,0.053135048069361264,0.653,0.053135048069361264,0.00361,0.004418257575108088,200.0,0.0
110,0.6563636363636364,0.05794142255862846,0.6563636363636364,0.05794142255862846,0.00361,0.004418257575108088,200.0,0.0
120,0.6583333333333333,0.05443310539518173,0.6583333333333333,0.05443310539518173,0.00361,0.004418257575108088,200.0,0.0
130,0.6599999999999999,0.05496995772661178,0.6599999999999999,0.05496995772661178,0.00361,0.004418257575108088,200.0,0.0
140,0.6592857142857143,0.05216948656828233,0.6592857142857143,0.05216948656828233,0.00361,0.004418257575108088,200.0,0.0
150,0.6586666666666667,0.0469094215180756,0.6586666666666667,0.0469094215180756,0.00361,0.004418257575108088,200.0,0.0
160,0.659375,0.046140072063229384,0.659375,0.046140072063229384,0.00361,0.004418257575108088,200.0,0.0
170,0.6594117647058824,0.04335506508574288,0.6594117647058824,0.04335506508574288,0.00361,0.004418257575108088,200.0,0.0
180,0.665,0.04223277970671393,0.665,0.04223277970671393,0.00361,0.004418257575108088,200.0,0.0
190,0.6726315789473685,0.04374018818876469,0.6726315789473685,0.04374018818876469,0.00361,0.004418257575108088,200.0,0.0
200,0.675,0.03822448313726568,0.675,0.03822448313726568,0.00361,0.004418257575108088,200.0,0.0
210,0.6845,0.03345394844658349,0.6747619047619048,0.037565764958283246,0.00361,0.004418257575108088,200.0,0.0
220,0.688,0.031989581637360175,0.6759090909090909,0.03579415181211274,0.00361,0.004418257575108088,200.0,0.0
230,0.6895,0.03752406635155036,0.6769565217391305,0.039480452811097425,0.00361,0.004418257575108088,200.0,0.0
240,0.6905,0.026609313323638285,0.6775,0.034927172908888665,0.00361,0.004418257575108088,200.0,0.0
250,0.6865,0.030916554357388114,0.6744,0.03436794372021051,0.00361,0.004418257575108088,200.0,0.0
260,0.686,0.027059604990136515,0.6734615384615384,0.029761820230930953,0.00361,0.004418257575108088,200.0,0.0
270,0.688,0.024855135843076314,0.6744444444444444,0.0284460090447607,0.00361,0.004418257575108088,200.0,0.0
280,0.6835,0.023100024050011516,0.6732142857142858,0.027212212977767793,0.00361,0.004418257575108088,200.0,0.0
290,0.6849999999999999,0.022484562605386713,0.6737931034482758,0.028211308426009118,0.00361,0.004418257575108088,200.0,0.0
300,0.6849999999999999,0.026874192494328458,0.6743333333333333,0.028111330697429604,0.00361,0.004418257575108088,200.0,0.0
310,0.687,0.02463060426921487,0.6761290322580645,0.025363583450998758,0.00361,0.004418257575108088,200.0,0.0
320,0.6905,0.02290681606470487,0.6784375,0.02182285451462908,0.00361,0.004418257575108088,200.0,0.0
330,0.6895,0.0292925853341004,0.677878787878788,0.02194733565359592,0.00361,0.004418257575108088,200.0,0.0
340,0.6955,0.03328746844618188,0.6805882352941176,0.022493537881882315,0.00361,0.004418257575108088,200.0,0.0
350,0.697,0.03233505150074071,0.6805714285714286,0.021834255056620334,0.00361,0.004418257575108088,200.0,0.0
360,0.701,0.030349812373573416,0.6825,0.019157942190412645,0.00361,0.004418257575108088,200.0,0.0
370,0.7015,0.03240798941276327,0.6821621621621621,0.019414362157911313,0.00361,0.004418257575108088,200.0,0.0
380,0.698,0.03433495141818155,0.6823684210526315,0.01696637269426609,0.00361,0.004418257575108088,200.0,0.0
390,0.694,0.03478505426185213,0.6835897435897436,0.017649107007371347,0.00361,0.004418257575108088,200.0,0.0
400,0.692,0.029173808649388063,0.6835,0.01740849090402598,0.00361,0.004418257575108088,200.0,0.0
410,0.6925,0.028891559705599496,0.6834146341463414,0.01629265047138252,0.00361,0.004418257575108088,200.0,0.0
420,0.6905,0.03261305123889987,0.6828571428571428,0.01690308509457033,0.00361,0.004418257575108088,200.0,0.0
430,0.6885,0.03496426747409418,0.6823255813953488,0.015932071415398617,0.00361,0.004418257575108088,200.0,0.0
440,0.6865,0.032493589111289814,0.6815909090909091,0.01594332535915283,0.00361,0.004418257575108088,200.0,0.0
450,0.692,0.02562550812504341,0.6822222222222223,0.01612706744968683,0.00361,0.004418257575108088,200.0,0.0
460,0.696,0.02481039208790451,0.6832608695652174,0.01668398596030427,0.00361,0.004418257575108088,200.0,0.0
470,0.6925,0.026273137950724047,0.6821276595744681,0.018742736634506596,0.00361,0.004418257575108088,200.0,0.0
480,0.694,0.03016620625799669,0.681875,0.017292921641205942,0.00361,0.004418257575108088,200.0,0.0
490,0.693,0.03326659986633238,0.6816326530612244,0.017370265761637697,0.00361,0.004418257575108088,200.0,0.0
500,0.6859999999999999,0.036727222722238176,0.679,0.01804315813696578,0.00361,0.004418257575108088,200.0,0.0
510,0.6819999999999999,0.040083246708153095,0.6784313725490196,0.0187616994698135,0.00361,0.004418257575108088,200.0,0.0
520,0.6779999999999999,0.042635405214185275,0.6782692307692308,0.01982106842356577,0.00361,0.004418257575108088,200.0,0.0
530,0.6759999999999999,0.050651313463281035,0.6771698113207547,0.02177681470364572,0.00361,0.004418257575108088,200.0,0.0
540,0.667,0.055687620806702726,0.6755555555555556,0.0214509503482447,0.00361,0.004418257575108088,200.0,0.0
550,0.6665,0.06381614215854792,0.6754545454545455,0.02330379870270348,0.00361,0.004418257575108088,200.0,0.0
560,0.6625,0.06957210488247267,0.6753571428571428,0.02314244071739791,0.00361,0.004418257575108088,200.0,0.0
570,0.6675,0.07068120919546675,0.6770175438596492,0.022761237604309807,0.00361,0.004418257575108088,200.0,0.0
580,0.67,0.07074995092263708,0.6781034482758621,0.022931682645752714,0.00361,0.004418257575108088,200.0,0.0
590,0.674,0.07179445970577705,0.6803389830508475,0.023228516574522483,0.00361,0.004418257575108088,200.0,0.0
600,0.6729999999999999,0.07605553526499204,0.6799999999999999,0.024733143655057833,0.00361,0.004418257575108088,200.0,0.0
610,0.674,0.07419194325831104,0.680327868852459,0.02354170407490495,0.00361,0.004418257575108088,200.0,0.0
620,0.6775,0.07368287906065196,0.6811290322580645,0.02360759973345799,0.00361,0.004418257575108088,200.0,0.0
630,0.6779999999999999,0.07543208866258445,0.680952380952381,0.02341232475115087,0.00361,0.004418257575108088,200.0,0.0
640,0.6795,0.07189691694827162,0.6809375,0.02229020633845974,0.00361,0.004418257575108088,200.0,0.0
650,0.6785,0.07027920507992864,0.6810769230769231,0.022377432982881494,0.00361,0.004418257575108088,200.0,0.0
660,0.6759999999999999,0.06552353266829664,0.681060606060606,0.0227244667179124,0.00361,0.004418257575108088,200.0,0.0
670,0.6785,0.06285123529237734,0.681044776119403,0.022515392456118416,0.00361,0.004418257575108088,200.0,0.0
680,0.6815,0.06078422675515601,0.6817647058823529,0.022033754818534798,0.00361,0.004418257575108088,200.0,0.0
690,0.6849999999999999,0.05816642788871715,0.682608695652174,0.022316540024060097,0.00361,0.004418257575108088,200.0,0.0
700,0.693,0.05940445175985457,0.683,0.021680529317198934,0.00361,0.004418257575108088,200.0,0.0
710,0.7025,0.058034951154933824,0.6852112676056338,0.021639576857261037,0.00361,0.004418257575108088,200.0,0.0
720,0.7005,0.053771636472111264,0.6844444444444444,0.021554394139514474,0.00361,0.004418257575108088,200.0,0.0
730,0.705,0.042817441928883766,0.6847945205479452,0.020537287951664478,0.00361,0.004418257575108088,200.0,0.0
740,0.7115,0.03851767271151143,0.6852702702702703,0.020597459465125766,0.00361,0.004418257575108088,200.0,0.0
750,0.7115,0.043719433766791695,0.6850666666666666,0.0212944089340806,0.00361,0.004418257575108088,200.0,0.0
760,0.7110000000000001,0.04427188724235731,0.6847368421052631,0.022071472363087766,0.00361,0.004418257575108088,200.0,0.0
770,0.7060000000000001,0.03998610869900804,0.6845454545454546,0.02264735485070719,0.00361,0.004418257575108088,200.0,0.0
780,0.702,0.036224607965059094,0.6842307692307692,0.023391727438509702,0.00361,0.004418257575108088,200.0,0.0
790,0.6915,0.03440364967719427,0.6831645569620253,0.023546042916275343,0.00361,0.004418257575108088,200.0,0.0
800,0.6940000000000001,0.034944400282607625,0.6835,0.023627608615534652,0.00361,0.004418257575108088,200.0,0.0
810,0.693,0.039313554349048055,0.6834567901234567,0.023346067463847535,0.00361,0.004418257575108088,200.0,0.0
820,0.6975,0.042377273783637044,0.6851219512195122,0.023036983832511806,0.00361,0.004418257575108088,200.0,0.0
830,0.697,0.037579545263643384,0.6848192771084337,0.022847135067245415,0.00361,0.004418257575108088,200.0,0.0
840,0.6965,0.03613631599005817,0.6846428571428571,0.02254198792144879,0.00361,0.004418257575108088,200.0,0.0
850,0.698,0.037282703764614476,0.6850588235294117,0.02192609304742843,0.00361,0.004418257575108088,200.0,0.0
860,0.6984999999999999,0.040280268122245645,0.6851162790697675,0.021228141141502187,0.00361,0.004418257575108088,200.0,0.0
870,0.6995,0.04105890078087006,0.6852873563218391,0.02115830786871698,0.00361,0.004418257575108088,200.0,0.0
880,0.6945,0.04380829449621002,0.6846590909090909,0.019756974451716192,0.00361,0.004418257575108088,200.0,0.0
890,0.693,0.03931355434904807,0.6849438202247191,0.020807257594566787,0.00361,0.004418257575108088,200.0,0.0
900,0.6895,0.04804222679638772,0.6844444444444444,0.02150063003511111,0.00361,0.004418257575108088,200.0,0.0
910,0.6775,0.0494553670831926,0.6835164835164835,0.022026807880399863,0.00361,0.004418257575108088,200.0,0.0
920,0.6809999999999999,0.054863466897380794,0.683695652173913,0.02230542604582809,0.00361,0.004418257575108088,200.0,0.0
930,0.6785,0.05558027227952977,0.6834408602150537,0.02208420546768929,0.00361,0.004418257575108088,200.0,0.0
940,0.675,0.05642103626603584,0.6830851063829787,0.022686445626191494,0.00361,0.004418257575108088,200.0,0.0
950,0.671,0.05146735750831671,0.6821052631578948,0.02226895670543501,0.00361,0.004418257575108088,200.0,0.0
960,0.673,0.0473286382647969,0.6822916666666667,0.021594877507591943,0.00361,0.004418257575108088,200.0,0.0
970,0.6729999999999999,0.03902990306589723,0.6821649484536082,0.021021548567750632,0.00361,0.004418257575108088,200.0,0.0
980,0.675,0.03756475889861544,0.6823469387755102,0.02118176626230299,0.00361,0.004418257575108088,200.0,0.0
990,0.6835,0.03800950173604254,0.6832323232323232,0.021883967828792306,0.00361,0.004418257575108088,200.0,0.0
1000,0.6855,0.03989221589344077,0.6839,0.022128162046486242,0.00361,0.004418257575108088,200.0,0.0
