Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
65,0.7646153846153847,0.2060300687220678,0.7646153846153847,0.2060300687220678,0.0027099999999999997,0.003852401848198082,1000.0,0.0
130,0.7961538461538462,0.14419515229746144,0.7961538461538462,0.14419515229746144,0.0027099999999999997,0.003852401848198082,1000.0,0.0
195,0.8082051282051281,0.10188378357061703,0.8082051282051281,0.10188378357061703,0.0027099999999999997,0.003852401848198082,1000.0,0.0
260,0.8146153846153845,0.07388887653057588,0.8146153846153845,0.07388887653057588,0.0027099999999999997,0.003852401848198082,1000.0,0.0
325,0.8243076923076924,0.05887304564024676,0.8243076923076924,0.05887304564024676,0.0027099999999999997,0.003852401848198082,1000.0,0.0
390,0.8253846153846155,0.0490012754004279,0.8253846153846155,0.0490012754004279,0.0027099999999999997,0.003852401848198082,1000.0,0.0
455,0.8274725274725275,0.04250662836741002,0.8274725274725275,0.04250662836741002,0.0027099999999999997,0.003852401848198082,1000.0,0.0
520,0.826923076923077,0.038333118942887316,0.826923076923077,0.038333118942887316,0.0027099999999999997,0.003852401848198082,1000.0,0.0
585,0.8283760683760685,0.035200580273860034,0.8283760683760685,0.035200580273860034,0.0027099999999999997,0.003852401848198082,1000.0,0.0
650,0.8324615384615385,0.03224209865543452,0.8324615384615385,0.03224209865543452,0.0027099999999999997,0.003852401848198082,1000.0,0.0
715,0.8316083916083915,0.030358206893960838,0.8316083916083915,0.030358206893960838,0.0027099999999999997,0.003852401848198082,1000.0,0.0
780,0.8342307692307692,0.02795178895279297,0.8342307692307692,0.02795178895279297,0.0027099999999999997,0.003852401848198082,1000.0,0.0
845,0.8349112426035503,0.025285042152924857,0.8349112426035503,0.025285042152924857,0.0027099999999999997,0.003852401848198082,1000.0,0.0
910,0.837032967032967,0.023506382411772258,0.837032967032967,0.023506382411772258,0.0027099999999999997,0.003852401848198082,1000.0,0.0
975,0.8371282051282052,0.0227898574469988,0.8371282051282052,0.0227898574469988,0.0027099999999999997,0.003852401848198082,1000.0,0.0
1040,0.8411,0.016421192269611706,0.8376923076923077,0.022689953521228937,0.0027099999999999997,0.003852401848198082,1000.0,0.0
1105,0.8437999999999999,0.010141224997230115,0.8380995475113122,0.02037684503724827,0.0027099999999999997,0.003852401848198082,1000.0,0.0
1170,0.8442000000000001,0.009750213672872338,0.8383760683760684,0.021268335797912426,0.0027099999999999997,0.003852401848198082,1000.0,0.0
1235,0.8446999999999999,0.0102420701032555,0.8393522267206478,0.020158889940366447,0.0027099999999999997,0.003852401848198082,1000.0,0.0
