Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
497,0.9655935613682093,0.009693744673828228,0.9655935613682093,0.009693744673828228,0.0063100000000000005,0.004770848981051486,1000.0,0.0
994,0.9675050301810865,0.005711711004009182,0.9675050301810865,0.005711711004009182,0.0063100000000000005,0.004770848981051486,1000.0,0.0
1491,0.9658,0.005370702416299397,0.9657276995305164,0.004892417605785607,0.0063100000000000005,0.004770848981051486,1000.0,0.0
1988,0.9632999999999999,0.004522781838156178,0.9654426559356137,0.004530577245450424,0.0063100000000000005,0.004770848981051486,1000.0,0.0
2485,0.9654999999999999,0.005642103626603598,0.9656740442655936,0.0038507232687466923,0.0063100000000000005,0.004770848981051486,1000.0,0.0
2982,0.9701000000000001,0.004724639903973865,0.9670020120724345,0.0035320219375151517,0.0063100000000000005,0.004770848981051486,1000.0,0.0
3479,0.9714,0.003657564459825372,0.9673756826674331,0.0026352922371323598,0.0063100000000000005,0.004770848981051486,1000.0,0.0
3976,0.9674999999999999,0.0060231036665308844,0.9671529175050301,0.0032538874213967678,0.0063100000000000005,0.004770848981051486,1000.0,0.0
4473,0.966,0.007423685817106688,0.9670243684328191,0.003158591467698422,0.0063100000000000005,0.004770848981051486,1000.0,0.0
4970,0.9687999999999999,0.006033241251599329,0.9675452716297788,0.0030099748807577843,0.0063100000000000005,0.004770848981051486,1000.0,0.0
5467,0.9702,0.005050852513300214,0.9676239253704042,0.0031327925318371274,0.0063100000000000005,0.004770848981051486,1000.0,0.0
5964,0.9698,0.0051380930314660605,0.9679242119382965,0.0028499427513511834,0.0063100000000000005,0.004770848981051486,1000.0,0.0
6461,0.9702,0.0050728033012658194,0.968054480730537,0.002878238032421471,0.0063100000000000005,0.004770848981051486,1000.0,0.0
6958,0.9679,0.007109461614246512,0.9679074446680082,0.0030299101163093027,0.0063100000000000005,0.004770848981051486,1000.0,0.0
7455,0.968,0.009104333522498436,0.9680617035546613,0.0031921563445076935,0.0063100000000000005,0.004770848981051486,1000.0,0.0
7952,0.9696,0.008016649341630636,0.9680960764587525,0.0033393030146574364,0.0063100000000000005,0.004770848981051486,1000.0,0.0
8449,0.9712999999999999,0.005056349144063015,0.968434134217067,0.003034015303183544,0.0063100000000000005,0.004770848981051486,1000.0,0.0
8946,0.9679,0.008279157230325107,0.9680862955510843,0.00295476798016536,0.0063100000000000005,0.004770848981051486,1000.0,0.0
9443,0.9666,0.0058727241454787455,0.9682198453881181,0.0026152391856336774,0.0063100000000000005,0.004770848981051486,1000.0,0.0
9940,0.9702,0.007345444544447633,0.9682997987927566,0.0026081379792510812,0.0063100000000000005,0.004770848981051486,1000.0,0.0
10437,0.9692999999999999,0.006183310871477619,0.9683338123981986,0.002732583453852403,0.0063100000000000005,0.004770848981051486,1000.0,0.0
10934,0.9690999999999999,0.006590397054300549,0.9683647338576916,0.0023195177455047297,0.0063100000000000005,0.004770848981051486,1000.0,0.0
11431,0.9699,0.0069033003379221245,0.9684979441868602,0.0022354690990943745,0.0063100000000000005,0.004770848981051486,1000.0,0.0
11928,0.9712,0.008107609594284458,0.9686032863849766,0.0022922936070610463,0.0063100000000000005,0.004770848981051486,1000.0,0.0
12425,0.9641,0.00923098646468032,0.9681368209255533,0.0025262030384240364,0.0063100000000000005,0.004770848981051486,1000.0,0.0
12922,0.9652,0.005245103536738921,0.9683485528555951,0.002374054659205162,0.0063100000000000005,0.004770848981051486,1000.0,0.0
13419,0.9714,0.0027568097504180574,0.9683881064162755,0.002339432988597824,0.0063100000000000005,0.004770848981051486,1000.0,0.0
13916,0.9695,0.006536223850375871,0.9684320206956022,0.0021890826956708887,0.0063100000000000005,0.004770848981051486,1000.0,0.0
14413,0.9681,0.007187179944564888,0.968375771872615,0.0022061523982742958,0.0063100000000000005,0.004770848981051486,1000.0,0.0
14910,0.9679,0.005258854966202764,0.9684171696847754,0.0021306561511942744,0.0063100000000000005,0.004770848981051486,1000.0,0.0
15407,0.9699,0.0037844711945293407,0.968468877782826,0.0021447881353824695,0.0063100000000000005,0.004770848981051486,1000.0,0.0
