Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
10,0.36,0.1955050439815357,0.36,0.1955050439815357,0.0024400000000000003,0.00400699388569536,50.0,0.0
20,0.375,0.16372402253657087,0.375,0.16372402253657087,0.0024400000000000003,0.00400699388569536,50.0,0.0
30,0.4033333333333333,0.1093753306873308,0.4033333333333333,0.1093753306873308,0.0024400000000000003,0.00400699388569536,50.0,0.0
40,0.38,0.0771002233748025,0.38,0.0771002233748025,0.0024400000000000003,0.00400699388569536,50.0,0.0
50,0.382,0.07568942389058651,0.382,0.07568942389058651,0.0024400000000000003,0.00400699388569536,50.0,0.0
60,0.358,0.06957010852370435,0.35833333333333334,0.06770032003863302,0.0024400000000000003,0.00400699388569536,50.0,0.0
70,0.348,0.05593647190240807,0.35571428571428576,0.06333512349779329,0.0024400000000000003,0.00400699388569536,50.0,0.0
80,0.312,0.06051629716218783,0.34625,0.05529278132511212,0.0024400000000000003,0.00400699388569536,50.0,0.0
90,0.346,0.06995236474439827,0.3611111111111111,0.06113916303414511,0.0024400000000000003,0.00400699388569536,50.0,0.0
100,0.34199999999999997,0.06425643072011461,0.362,0.06014796569941312,0.0024400000000000003,0.00400699388569536,50.0,0.0
110,0.388,0.07955431408094027,0.3718181818181818,0.062021353590467176,0.0024400000000000003,0.00400699388569536,50.0,0.0
120,0.4,0.09660917830792959,0.37416666666666665,0.05463826046071414,0.0024400000000000003,0.00400699388569536,50.0,0.0
130,0.458,0.08403702887550359,0.3892307692307692,0.05092181164023142,0.0024400000000000003,0.00400699388569536,50.0,0.0
140,0.4640000000000001,0.05872724145478731,0.39785714285714285,0.047146464508447075,0.0024400000000000003,0.00400699388569536,50.0,0.0
150,0.48,0.07542472332656502,0.4013333333333334,0.04680403063786939,0.0024400000000000003,0.00400699388569536,50.0,0.0
160,0.504,0.06915361322607966,0.41312499999999996,0.04540041758251421,0.0024400000000000003,0.00400699388569536,50.0,0.0
170,0.534,0.12294533563968811,0.4211764705882353,0.0506171068243531,0.0024400000000000003,0.00400699388569536,50.0,0.0
178,0.524,0.12321616055624451,0.4247191011235955,0.050122939377967336,0.0024400000000000003,0.00400699388569536,50.0,0.0
