Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
10,0.6799999999999999,0.1549193338482967,0.6799999999999999,0.1549193338482967,0.1632,70.0
20,0.675,0.08249579113843054,0.675,0.08249579113843054,0.1632,70.0
30,0.6833333333333333,0.06526300069150408,0.6833333333333333,0.06526300069150408,0.1632,70.0
40,0.7,0.05527707983925666,0.7,0.05527707983925666,0.1632,70.0
50,0.7020000000000001,0.07509993342207433,0.7020000000000001,0.07509993342207433,0.1632,70.0
60,0.7033333333333334,0.06795059933964735,0.7033333333333334,0.06795059933964735,0.1632,70.0
70,0.7,0.05553287518900285,0.7,0.05553287518900285,0.1632,70.0
80,0.7042857142857143,0.048116449825025276,0.70125,0.048751780594262495,0.1632,70.0
90,0.6971428571428572,0.05379055712930643,0.6922222222222223,0.048869244089024426,0.1632,70.0
100,0.6985714285714286,0.05571632067915716,0.694,0.04402019738458447,0.1632,70.0
110,0.7,0.05753831415997416,0.7,0.04412187811685162,0.1632,70.0
120,0.7042857142857143,0.03929653530624337,0.7033333333333334,0.0345160545933535,0.1632,70.0
130,0.7014285714285714,0.056121830546994614,0.7023076923076923,0.032443750949511053,0.1632,70.0
140,0.6957142857142857,0.07316926606573716,0.6978571428571428,0.037199285585513095,0.1632,70.0
150,0.6942857142857143,0.0738325616888164,0.6980000000000001,0.03625015964204952,0.1632,70.0
160,0.7,0.07438333024673005,0.6956249999999999,0.03621046694902825,0.1632,70.0
170,0.7014285714285714,0.05732115042211108,0.6970588235294117,0.03763990945186757,0.1632,70.0
180,0.6842857142857143,0.04589745051436759,0.6938888888888889,0.032966083913843036,0.1632,70.0
190,0.6871428571428572,0.0592661088256079,0.6973684210526316,0.03623136215449717,0.1632,70.0
200,0.6857142857142857,0.06459361888690734,0.6965,0.03504362360766296,0.1632,70.0
210,0.6771428571428572,0.04626650591044234,0.690952380952381,0.032175664229456134,0.1632,70.0
220,0.6842857142857143,0.04589745051436757,0.6936363636363636,0.032084026503191324,0.1632,70.0
230,0.687142857142857,0.052359302885346515,0.6930434782608696,0.028562125289449302,0.1632,70.0
240,0.6799999999999999,0.07352479644045251,0.6920833333333334,0.029426750448789098,0.1632,70.0
250,0.7014285714285714,0.07077478572757805,0.696,0.02745501370929863,0.1632,70.0
260,0.6942857142857143,0.0741390493562993,0.6965384615384616,0.028173058691397506,0.1632,70.0
270,0.6757142857142857,0.0703248052346575,0.6911111111111111,0.024765321319742867,0.1632,70.0
280,0.6957142857142857,0.05949523123480181,0.6921428571428572,0.022637836807627997,0.1632,70.0
290,0.6814285714285714,0.06967693508935875,0.6906896551724138,0.02229114690960619,0.1632,70.0
300,0.6857142857142857,0.05512303287042961,0.6913333333333334,0.023370341022462063,0.1632,70.0
310,0.6885714285714286,0.041948029610562355,0.6912903225806452,0.022557591918770447,0.1632,70.0
320,0.6757142857142857,0.04314716681933063,0.6915625000000001,0.020361852438376578,0.1632,70.0
330,0.6799999999999999,0.027929291997362223,0.6930303030303031,0.023212551973568064,0.1632,70.0
340,0.6957142857142857,0.03812498838332969,0.6920588235294118,0.023408595049335516,0.1632,70.0
350,0.6857142857142857,0.04040610178208842,0.6908571428571428,0.02423617730273143,0.1632,70.0
351,0.6814285714285714,0.03691628084440818,0.6903133903133903,0.023838359700533003,0.1632,70.0
