Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
226,0.7504424778761062,0.021292132663856735,0.7504424778761062,0.021292132663856735,0.187,1000.0
452,0.7528761061946903,0.015079272665156202,0.7528761061946903,0.015079272665156202,0.187,1000.0
678,0.7545722713864307,0.01694846508328852,0.7545722713864307,0.01694846508328852,0.187,1000.0
904,0.7548672566371681,0.01694721714884395,0.7548672566371681,0.01694721714884395,0.187,1000.0
1130,0.7559,0.014082692293103,0.7543362831858407,0.013812115408939226,0.187,1000.0
1356,0.7574,0.018410142132350135,0.7556047197640118,0.013731696321212213,0.187,1000.0
1582,0.7573000000000001,0.01503366592388934,0.7560050568900126,0.012347311693201562,0.187,1000.0
1808,0.7557,0.015158789163019906,0.7548672566371681,0.012080672479538857,0.187,1000.0
2034,0.7533000000000001,0.016533131719200834,0.7539823008849558,0.010959686113626776,0.187,1000.0
2260,0.7546999999999999,0.009798525966241641,0.7550442477876106,0.007506780580492069,0.187,1000.0
2486,0.7538,0.011448435118681795,0.755229283990346,0.007193839395943232,0.187,1000.0
2712,0.7531,0.010702543830531354,0.754830383480826,0.008836659589157738,0.187,1000.0
2938,0.7544000000000001,0.012411464234506932,0.7553097345132744,0.008066464708242363,0.187,1000.0
3164,0.7535000000000001,0.011501207666057386,0.754740834386852,0.00807300634667849,0.187,1000.0
3390,0.7567999999999999,0.009874771446018948,0.7559587020648968,0.006837962005484138,0.187,1000.0
3616,0.7586,0.007777460310981262,0.7561393805309734,0.006870934494081267,0.187,1000.0
3842,0.7586,0.01189023876033521,0.7561426340447683,0.005892619582932858,0.187,1000.0
4068,0.7565999999999999,0.01475880151713626,0.7553834808259587,0.005849932533998247,0.187,1000.0
4294,0.7531,0.016927623709323353,0.7552398695854681,0.0059078707003386004,0.187,1000.0
4520,0.7517,0.021349212840029722,0.7548451327433628,0.006221365868533979,0.187,1000.0
4746,0.7479,0.02124696056694545,0.7548883270122209,0.006975570696536211,0.187,1000.0
4972,0.754,0.022315913604421412,0.7551488334674176,0.0073844981410242086,0.187,1000.0
5198,0.7539,0.019484751873081584,0.7551173528280108,0.007278059042427862,0.187,1000.0
5424,0.7543,0.01443029221233353,0.7548856932153393,0.007209542899858684,0.187,1000.0
5650,0.7553,0.015011477090694461,0.7549026548672566,0.007012861003549388,0.187,1000.0
5876,0.7567999999999999,0.013497324837825403,0.7555479918311777,0.006856903084923078,0.187,1000.0
6102,0.7602,0.011914510294408032,0.7559324811537201,0.0064353407585570335,0.187,1000.0
6328,0.7596,0.010254538290706003,0.7558628318584071,0.0055047993047602686,0.187,1000.0
6554,0.7634000000000001,0.010679159351018435,0.7562557216966738,0.005376335449803018,0.187,1000.0
6780,0.76,0.015282524515130205,0.7561209439528024,0.005361491619203256,0.187,1000.0
7006,0.7603,0.0132501572317715,0.7563659720239795,0.00583040544665945,0.187,1000.0
7232,0.7636000000000001,0.015770577386738597,0.756858407079646,0.005780462665694954,0.187,1000.0
7458,0.766,0.019742790526614488,0.7573880396889247,0.005863431399060962,0.187,1000.0
7684,0.7678,0.018635688581023463,0.7574180114523685,0.005496116940729404,0.187,1000.0
7910,0.7678,0.017843766418556395,0.7576864728192162,0.005546289471588301,0.187,1000.0
8136,0.7664,0.017296113885944313,0.7579891838741396,0.0050607701228531,0.187,1000.0
8362,0.7672000000000001,0.012398924684557649,0.7579526429083951,0.004928186067296685,0.187,1000.0
8588,0.7637,0.011392492654765643,0.7579529576152771,0.005044023548726242,0.187,1000.0
8814,0.7623,0.013912823820729819,0.7580780576355798,0.005097537800255515,0.187,1000.0
9040,0.7586999999999999,0.01596558799418299,0.7579977876106195,0.004852723117026681,0.187,1000.0
9266,0.7609,0.014940251373759138,0.7580617310597885,0.00505218846073308,0.187,1000.0
9492,0.7609,0.017766697936182622,0.7584386852085967,0.005119048474274168,0.187,1000.0
9718,0.7636000000000001,0.014198591479439093,0.7586025931261576,0.005010108790776348,0.187,1000.0
9944,0.7628,0.013990472948879657,0.7584473049074819,0.004772484251867632,0.187,1000.0
10170,0.7615000000000001,0.013922404006971416,0.7583874139626352,0.00456608202262878,0.187,1000.0
10396,0.7619,0.012905209972892502,0.7585032704886495,0.00466240673500326,0.187,1000.0
10622,0.7581,0.0189294010000904,0.7585953681039352,0.005141535367336353,0.187,1000.0
10848,0.7597,0.014914944034610246,0.7584808259587021,0.00514428620954461,0.187,1000.0
11074,0.7586999999999999,0.01497442263772909,0.7584793209319126,0.005409427241259304,0.187,1000.0
11300,0.7546,0.01395389232834737,0.758212389380531,0.004993500008353763,0.187,1000.0
11526,0.7544000000000001,0.011862171433220449,0.7581815026895714,0.005043357621907299,0.187,1000.0
11752,0.7563,0.015734251385644858,0.7584411164057182,0.005363835287760698,0.187,1000.0
11978,0.758,0.011916375287812976,0.7584237769243614,0.005247510643807858,0.187,1000.0
12204,0.7572,0.011839669665061512,0.7582923631596199,0.005100496847906635,0.187,1000.0
12430,0.763,0.010883218478209685,0.7585599356395816,0.0048702587542530954,0.187,1000.0
12656,0.7644,0.011739770961233556,0.7587942477876106,0.0045163357938478735,0.187,1000.0
12882,0.7601,0.017136381051889457,0.7585312839621177,0.004390096240705244,0.187,1000.0
13108,0.762,0.01995550606279436,0.7585825450106805,0.004312613405614921,0.187,1000.0
13334,0.7625,0.013517478397327759,0.7586095695215239,0.004340872969240017,0.187,1000.0
13560,0.7599,0.014402546071210246,0.7586725663716815,0.004507475875796237,0.187,1000.0
13786,0.7567999999999999,0.018066543665017965,0.7586029305092122,0.004845178098983391,0.187,1000.0
14012,0.7574,0.022784985309531273,0.7584784470453896,0.0050190899164110295,0.187,1000.0
14238,0.7554000000000001,0.02029887791096952,0.7584351734794212,0.004797615588863624,0.187,1000.0
14464,0.7586999999999999,0.01532644772933376,0.7585591814159292,0.004748738790366667,0.187,1000.0
14690,0.752,0.00904310664416702,0.7583117767188564,0.004350697393057444,0.187,1000.0
14916,0.7574,0.009524238085595682,0.7584406006972378,0.0043383199526728,0.187,1000.0
15142,0.7593,0.014996666296213983,0.7584268920882314,0.004450980868585856,0.187,1000.0
15368,0.7605000000000001,0.014931324269616684,0.7586673607496096,0.0044420545797506554,0.187,1000.0
15594,0.7622,0.016477594214906213,0.7587405412338079,0.004387997988556962,0.187,1000.0
15820,0.7666999999999999,0.016221042575069657,0.7588621997471555,0.004327775020997516,0.187,1000.0
16046,0.7644,0.012694705808153083,0.7588994141842204,0.00415316872379144,0.187,1000.0
16272,0.7679,0.01516904743218903,0.7591937069813176,0.004307444373463183,0.187,1000.0
16498,0.7681,0.015737075826072523,0.7591950539459329,0.003970350426074821,0.187,1000.0
16724,0.7649,0.012538385506559883,0.7591246113370007,0.0036277622480804087,0.187,1000.0
16950,0.7646,0.015093780912091667,0.7592625368731564,0.0034907834398233122,0.187,1000.0
17176,0.7546,0.017296113885944334,0.758942710759199,0.0035491014880736824,0.187,1000.0
17402,0.7552,0.019083442503326768,0.7588782898517412,0.003357628125041181,0.187,1000.0
17628,0.7559,0.016414424550782587,0.7589346494213751,0.0034111526937147083,0.187,1000.0
17854,0.757,0.018950227204735878,0.7590455920241963,0.0034272459967687624,0.187,1000.0
18080,0.7591,0.016017004852482385,0.7590597345132744,0.0032721472458899867,0.187,1000.0
18306,0.7634000000000001,0.01340149245420077,0.7590953785644051,0.003055744468891811,0.187,1000.0
18532,0.7637,0.013367040726270664,0.7591787178933737,0.0030834246593785253,0.187,1000.0
18758,0.7585,0.012972192481526725,0.7589828339908306,0.002988881434972059,0.187,1000.0
18984,0.7554000000000001,0.011384199576606205,0.7588706278971766,0.0028952285013482374,0.187,1000.0
19210,0.7553,0.017185588277520373,0.7588964081207704,0.0028794196313360505,0.187,1000.0
19436,0.7516,0.016513967152417135,0.7587415105988887,0.0029234555454511458,0.187,1000.0
19662,0.7518,0.01422673539502302,0.7586715491811616,0.002702955069660134,0.187,1000.0
19888,0.7546,0.014120119609188105,0.7587037409493161,0.0026288338107158297,0.187,1000.0
20114,0.7512000000000001,0.008547904226573148,0.7585065128766033,0.0027086507528518524,0.187,1000.0
20340,0.7548,0.01780012484350727,0.7586529006882989,0.0024921722583031297,0.187,1000.0
20566,0.759,0.014727148022916362,0.7587085480890791,0.002416587654016256,0.187,1000.0
20792,0.7626999999999999,0.0122024587686253,0.7587533666794921,0.0025702941931295556,0.187,1000.0
21018,0.7562,0.013950706871776151,0.7585926348843848,0.0026150691434771167,0.187,1000.0
21244,0.7557,0.01594469608783228,0.7584729806062889,0.0027677976352628738,0.187,1000.0
21470,0.7528,0.012209286083414829,0.7584722869119702,0.002743165570458484,0.187,1000.0
21696,0.7497,0.013308727295358586,0.7583655973451326,0.0026373231686433545,0.187,1000.0
21922,0.7519,0.013152524050116358,0.7583751482528966,0.002612188511093059,0.187,1000.0
22148,0.754,0.010811516493484582,0.7583348383601228,0.002483996449178339,0.187,1000.0
22374,0.7513,0.00895730614265991,0.7581970143917046,0.002423010735510661,0.187,1000.0
22600,0.7532,0.012327025413925155,0.7582079646017699,0.0024460885984257724,0.187,1000.0
22696,0.7565000000000001,0.015770929656244752,0.758283397955587,0.0023770063071210353,0.187,1000.0
