Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
10,0.6599999999999999,0.1837873166945363,0.6599999999999999,0.1837873166945363,0.2662,70.0
20,0.6900000000000001,0.09067647005823629,0.6900000000000001,0.09067647005823629,0.2662,70.0
30,0.7066666666666667,0.04097575314352396,0.7066666666666667,0.04097575314352396,0.2662,70.0
40,0.7325,0.028987545218210117,0.7325,0.028987545218210117,0.2662,70.0
50,0.734,0.03405877273185281,0.734,0.03405877273185281,0.2662,70.0
60,0.74,0.03865006029094687,0.74,0.03865006029094687,0.2662,70.0
70,0.7371428571428572,0.03639042509436726,0.7371428571428572,0.03639042509436726,0.2662,70.0
80,0.7557142857142857,0.04065785563073629,0.74375,0.0318688719599549,0.2662,70.0
90,0.75,0.04579853348016987,0.7366666666666667,0.035543979597066906,0.2662,70.0
100,0.7442857142857143,0.0281315342623656,0.733,0.02451756739791107,0.2662,70.0
110,0.7428571428571429,0.03229680944345367,0.739090909090909,0.023492178719168894,0.2662,70.0
120,0.7428571428571429,0.042591770999996004,0.7391666666666666,0.02914681864349931,0.2662,70.0
130,0.7342857142857142,0.06216064332221229,0.736923076923077,0.02985831103181464,0.2662,70.0
140,0.7185714285714286,0.07969613493076375,0.7278571428571429,0.03184607253023369,0.2662,70.0
150,0.7028571428571428,0.07789754303496582,0.7246666666666666,0.03221072591851244,0.2662,70.0
160,0.6942857142857143,0.08058741257640449,0.7181249999999999,0.030111194393078744,0.2662,70.0
170,0.6842857142857143,0.05692418477054705,0.7129411764705883,0.023982564472816714,0.2662,70.0
180,0.6599999999999999,0.047044148705632234,0.7083333333333334,0.023314219096322593,0.2662,70.0
190,0.6542857142857142,0.03614031611621003,0.7078947368421054,0.02222606922687708,0.2662,70.0
200,0.6342857142857142,0.043747367915641315,0.701,0.022335820757001273,0.2662,70.0
210,0.6328571428571428,0.030897387042873,0.6961904761904762,0.024774111765240213,0.2662,70.0
220,0.6342857142857143,0.03700830329090561,0.6959090909090909,0.02502982610155354,0.2662,70.0
230,0.6428571428571429,0.05714285714285716,0.6952173913043478,0.026203443626496854,0.2662,70.0
240,0.6428571428571429,0.09159706696033977,0.6925,0.029318388448797278,0.2662,70.0
250,0.6471428571428571,0.09643298049884777,0.6912,0.02926051567860309,0.2662,70.0
260,0.63,0.10420849500323379,0.686923076923077,0.028907342510494913,0.2662,70.0
270,0.6328571428571428,0.10012463887903718,0.6833333333333333,0.027062111378744435,0.2662,70.0
280,0.6471428571428571,0.08166354290846567,0.6839285714285714,0.022287672889106037,0.2662,70.0
290,0.6385714285714286,0.06668367130070592,0.6820689655172414,0.021429924021004947,0.2662,70.0
300,0.6442857142857144,0.06404717648988541,0.6833333333333333,0.023147407395555132,0.2662,70.0
310,0.65,0.06217888027238379,0.6829032258064516,0.02188112598595482,0.2662,70.0
320,0.6571428571428571,0.0805311167870846,0.6837500000000001,0.021337646048448948,0.2662,70.0
330,0.6685714285714286,0.07401660658181124,0.683030303030303,0.02075997184430729,0.2662,70.0
340,0.68,0.08198224463488513,0.6826470588235294,0.018830166313622755,0.2662,70.0
350,0.6771428571428572,0.07413904935629928,0.6825714285714286,0.018684636637047683,0.2662,70.0
351,0.67,0.07390930275691689,0.6817663817663818,0.018318987395087447,0.2662,70.0
