Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
46,0.5608695652173913,0.12500787624839318,0.5608695652173913,0.12500787624839318,0.018000000000000002,920.0
92,0.5913043478260869,0.07637969909015282,0.5913043478260869,0.07637969909015282,0.018000000000000002,920.0
138,0.6159420289855072,0.060819701990406615,0.6159420289855072,0.060819701990406615,0.018000000000000002,920.0
184,0.6320652173913043,0.05734775924518049,0.6320652173913043,0.05734775924518049,0.018000000000000002,920.0
230,0.6456521739130434,0.0443511412988387,0.6456521739130434,0.0443511412988387,0.018000000000000002,920.0
276,0.6539855072463768,0.042434120992176014,0.6539855072463768,0.042434120992176014,0.018000000000000002,920.0
322,0.6661490683229814,0.040392573530282964,0.6661490683229814,0.040392573530282964,0.018000000000000002,920.0
368,0.6769021739130434,0.03651272497741305,0.6769021739130434,0.03651272497741305,0.018000000000000002,920.0
414,0.6765700483091788,0.030307352785773928,0.6765700483091788,0.030307352785773928,0.018000000000000002,920.0
460,0.6789130434782609,0.026108083232629604,0.6789130434782609,0.026108083232629604,0.018000000000000002,920.0
506,0.6812252964426877,0.02736914337812148,0.6812252964426877,0.02736914337812148,0.018000000000000002,920.0
552,0.6842391304347826,0.02400390802857155,0.6842391304347826,0.02400390802857155,0.018000000000000002,920.0
598,0.6847826086956521,0.024617873664407534,0.6847826086956521,0.024617873664407534,0.018000000000000002,920.0
644,0.6850931677018633,0.024341434492962024,0.6850931677018633,0.024341434492962024,0.018000000000000002,920.0
690,0.6885507246376812,0.025603408983274057,0.6885507246376812,0.025603408983274057,0.018000000000000002,920.0
736,0.6872282608695652,0.02421885321999674,0.6872282608695652,0.02421885321999674,0.018000000000000002,920.0
782,0.6860613810741688,0.023098671088810807,0.6860613810741688,0.023098671088810807,0.018000000000000002,920.0
828,0.6857487922705314,0.02268617642329684,0.6857487922705314,0.02268617642329684,0.018000000000000002,920.0
874,0.6846681922196797,0.02237679994558124,0.6846681922196797,0.02237679994558124,0.018000000000000002,920.0
920,0.6841304347826087,0.022294829922962996,0.6841304347826087,0.022294829922962996,0.018000000000000002,920.0
966,0.6907608695652174,0.020934693565108273,0.6845755693581781,0.020704221300050524,0.018000000000000002,920.0
1012,0.6950000000000001,0.024105505684943036,0.6855731225296442,0.02128931363282575,0.018000000000000002,920.0
1058,0.6948913043478261,0.02803256912480604,0.684593572778828,0.02337417199613647,0.018000000000000002,920.0
1104,0.693695652173913,0.029678314514927605,0.6834239130434783,0.02496106124119205,0.018000000000000002,920.0
1150,0.6919565217391305,0.030175743724832622,0.682695652173913,0.02417624150326333,0.018000000000000002,920.0
1196,0.6902173913043479,0.03112991525218927,0.6818561872909699,0.024114984109942103,0.018000000000000002,920.0
1242,0.686304347826087,0.02946255976763272,0.6810789049919485,0.023324589910778133,0.018000000000000002,920.0
1288,0.6804347826086957,0.030214002520854155,0.6794254658385093,0.02296016895858364,0.018000000000000002,920.0
1334,0.6779347826086957,0.030127198312070898,0.6775112443778111,0.02364140318015592,0.018000000000000002,920.0
1380,0.6761956521739131,0.027576486594496574,0.6771014492753623,0.021661697845256102,0.018000000000000002,920.0
1426,0.6735869565217392,0.02778798909140729,0.6762973352033661,0.021314476813966952,0.018000000000000002,920.0
1472,0.6721739130434783,0.026052715047623316,0.6766983695652173,0.020626657776775744,0.018000000000000002,920.0
1518,0.6718478260869565,0.02316263286927184,0.6769433465085639,0.018340985200411178,0.018000000000000002,920.0
1564,0.6720652173913043,0.024701802748407112,0.6774296675191815,0.01843347907108217,0.018000000000000002,920.0
1610,0.6691304347826087,0.02530635647853837,0.6774534161490683,0.01907247006110386,0.018000000000000002,920.0
1656,0.6669565217391304,0.02354347714569918,0.6759661835748793,0.01836296073462497,0.018000000000000002,920.0
1702,0.6613043478260869,0.020368635876077148,0.6726792009400705,0.016519754529385724,0.018000000000000002,920.0
1748,0.6581521739130435,0.020076845124294994,0.6712242562929062,0.016925755444158946,0.018000000000000002,920.0
1794,0.6554347826086956,0.02029632402052308,0.6696767001114827,0.016380753616234887,0.018000000000000002,920.0
1840,0.6517391304347826,0.018911516402340667,0.6679347826086957,0.016508385144774648,0.018000000000000002,920.0
1886,0.6473913043478261,0.01976016670465504,0.6664369034994697,0.016222561685595955,0.018000000000000002,920.0
1932,0.6425,0.018954851342439724,0.6650621118012422,0.01577793182037854,0.018000000000000002,920.0
1978,0.6392391304347826,0.017424861947936427,0.6634984833164813,0.0167085226934462,0.018000000000000002,920.0
2024,0.6376086956521739,0.015080474459873174,0.662598814229249,0.016173987446440014,0.018000000000000002,920.0
2070,0.6355434782608695,0.012800166225816284,0.6617391304347826,0.014903466463897348,0.018000000000000002,920.0
2116,0.6340217391304348,0.012666140174114344,0.6610586011342156,0.014530033420111358,0.018000000000000002,920.0
