Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
12,0.65,0.13494397557212356,0.65,0.13494397557212356,0.134,248.0
24,0.7458333333333333,0.10290907529357059,0.7458333333333333,0.10290907529357059,0.134,248.0
36,0.75,0.06141897759917409,0.75,0.06141897759917409,0.134,248.0
48,0.7583333333333333,0.057433536467042585,0.7583333333333333,0.057433536467042585,0.134,248.0
60,0.7583333333333333,0.06098471777805599,0.7583333333333333,0.06098471777805599,0.134,248.0
72,0.7597222222222222,0.060380736442456,0.7597222222222222,0.060380736442456,0.134,248.0
84,0.7559523809523809,0.05089585451738357,0.7559523809523809,0.05089585451738357,0.134,248.0
96,0.771875,0.04092216810718355,0.771875,0.04092216810718355,0.134,248.0
108,0.7768518518518519,0.04081782830397929,0.7768518518518519,0.04081782830397929,0.134,248.0
120,0.7758333333333333,0.039371999199782244,0.7758333333333333,0.039371999199782244,0.134,248.0
132,0.7795454545454545,0.03597044723347355,0.7795454545454545,0.03597044723347355,0.134,248.0
144,0.775,0.03021697939274206,0.775,0.03021697939274206,0.134,248.0
156,0.7730769230769231,0.03408102912372118,0.7730769230769231,0.03408102912372118,0.134,248.0
168,0.7708333333333333,0.03076996511760082,0.7708333333333333,0.03076996511760082,0.134,248.0
180,0.7727777777777778,0.028980150247499184,0.7727777777777778,0.028980150247499184,0.134,248.0
192,0.7708333333333334,0.02689571768199595,0.7708333333333334,0.02689571768199595,0.134,248.0
204,0.7686274509803922,0.023315109780048342,0.7686274509803922,0.023315109780048342,0.134,248.0
216,0.7689814814814815,0.024248536882122182,0.7689814814814815,0.024248536882122182,0.134,248.0
228,0.7675438596491228,0.024022919188823093,0.7675438596491228,0.024022919188823093,0.134,248.0
240,0.7625,0.026643508462848457,0.7625,0.026643508462848457,0.134,248.0
252,0.7653225806451613,0.02680095393680543,0.7634920634920634,0.027056651165175874,0.134,248.0
264,0.7669354838709677,0.023726068993135684,0.7628787878787879,0.026736688752659436,0.134,248.0
276,0.7645161290322581,0.02736131322580529,0.7623188405797101,0.02505565696597092,0.134,248.0
288,0.7665322580645161,0.026300847773306386,0.7645833333333333,0.022311260666706467,0.134,248.0
300,0.767741935483871,0.024208478069719215,0.766,0.02011080417199779,0.134,248.0
312,0.769758064516129,0.02422712723516098,0.7682692307692307,0.019644760417937147,0.134,248.0
324,0.7713709677419355,0.025996861386375508,0.7685185185185185,0.020107839800094725,0.134,248.0
336,0.7733870967741935,0.024914584109104295,0.7702380952380953,0.019880912777579893,0.134,248.0
