Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
10,0.54,0.17126976771553507,0.54,0.17126976771553507,0.0612,200.0
20,0.5700000000000001,0.1946506842754191,0.5700000000000001,0.1946506842754191,0.0612,200.0
30,0.5566666666666666,0.17430638556685957,0.5566666666666666,0.17430638556685957,0.0612,200.0
40,0.5549999999999999,0.17942810383115695,0.5549999999999999,0.17942810383115695,0.0612,200.0
50,0.556,0.18203784710267748,0.556,0.18203784710267748,0.0612,200.0
60,0.5733333333333334,0.15259079466758124,0.5733333333333334,0.15259079466758124,0.0612,200.0
70,0.5942857142857143,0.14509360494181447,0.5942857142857143,0.14509360494181447,0.0612,200.0
80,0.5974999999999999,0.12987707863805514,0.5974999999999999,0.12987707863805514,0.0612,200.0
90,0.6055555555555555,0.11526197273774395,0.6055555555555555,0.11526197273774395,0.0612,200.0
100,0.615,0.10069204977995476,0.615,0.10069204977995476,0.0612,200.0
110,0.6236363636363637,0.10061336227610732,0.6236363636363637,0.10061336227610732,0.0612,200.0
120,0.6275000000000001,0.08361526383190457,0.6275000000000001,0.08361526383190457,0.0612,200.0
130,0.64,0.07447382818690484,0.64,0.07447382818690484,0.0612,200.0
140,0.6421428571428571,0.06961588814405924,0.6421428571428571,0.06961588814405924,0.0612,200.0
150,0.6446666666666666,0.06703969710294283,0.6446666666666666,0.06703969710294283,0.0612,200.0
160,0.6475,0.060896086354817025,0.6475,0.060896086354817025,0.0612,200.0
170,0.6458823529411765,0.05971867920429435,0.6458823529411765,0.05971867920429435,0.0612,200.0
180,0.6488888888888888,0.056583090146570966,0.6488888888888888,0.056583090146570966,0.0612,200.0
190,0.6489473684210527,0.050424483151315036,0.6489473684210527,0.050424483151315036,0.0612,200.0
200,0.6519999999999999,0.045716517802649834,0.6519999999999999,0.045716517802649834,0.0612,200.0
210,0.6555,0.04657431337837058,0.65,0.04794859513331178,0.0612,200.0
220,0.663,0.04473378042498877,0.6545454545454545,0.04585680591036832,0.0612,200.0
230,0.6705,0.04225912130337465,0.6556521739130435,0.04303152129830871,0.0612,200.0
240,0.6745,0.040445436495769614,0.6545833333333333,0.042193429510140094,0.0612,200.0
250,0.6795,0.043105168548047156,0.6548,0.044263855332414156,0.0612,200.0
260,0.678,0.045716517802649854,0.6538461538461539,0.04626056039145824,0.0612,200.0
270,0.6765,0.048422331854447304,0.6551851851851852,0.048619095954043685,0.0612,200.0
280,0.6805,0.050412189883885114,0.6567857142857143,0.046973300178986946,0.0612,200.0
290,0.683,0.04802776974487434,0.6589655172413793,0.04503195383463411,0.0612,200.0
300,0.6799999999999999,0.0479583152331272,0.6583333333333333,0.045845957857283896,0.0612,200.0
310,0.6745,0.04716696112982286,0.6564516129032258,0.047023805603591116,0.0612,200.0
320,0.6725,0.04984698809579393,0.655625,0.050298587620992576,0.0612,200.0
330,0.6625,0.04837641757899996,0.6536363636363636,0.04871682719674107,0.0612,200.0
340,0.6565000000000001,0.05011375947670349,0.6505882352941177,0.048996072781601493,0.0612,200.0
350,0.6555,0.0504121898838851,0.6508571428571429,0.04946516674477544,0.0612,200.0
360,0.652,0.055936471902408094,0.65,0.04998285028246585,0.0612,200.0
370,0.6535,0.05380262281917328,0.65,0.049134213412696845,0.0612,200.0
380,0.647,0.059217114643206545,0.6478947368421053,0.05117577239184092,0.0612,200.0
390,0.646,0.06341223155757185,0.6474358974358975,0.05303623693501494,0.0612,200.0
400,0.6385,0.06616687657397434,0.64525,0.05286841632245519,0.0612,200.0
410,0.636,0.06341223155757185,0.6431707317073171,0.05113620790470957,0.0612,200.0
420,0.6335,0.06502350002541818,0.6445238095238095,0.05111567070266435,0.0612,200.0
430,0.629,0.06492730978221381,0.6432558139534883,0.04967534766718214,0.0612,200.0
440,0.628,0.06263651757029069,0.6425,0.04796178556097044,0.0612,200.0
450,0.633,0.060055529859178405,0.6451111111111111,0.047661932482392116,0.0612,200.0
460,0.634,0.06063552314169197,0.6452173913043479,0.04829371733254153,0.0612,200.0
470,0.631,0.05631261946589869,0.6448936170212767,0.04850203150391787,0.0612,200.0
480,0.6265,0.0584070962203129,0.6441666666666667,0.04856942657197906,0.0612,200.0
490,0.624,0.06026792034094276,0.6446938775510204,0.048231724281574906,0.0612,200.0
500,0.6255,0.05746738205277849,0.6452,0.04680170937049199,0.0612,200.0
510,0.6234999999999999,0.05652187383856114,0.6435294117647059,0.047229176049049554,0.0612,200.0
520,0.621,0.05626327003965869,0.6423076923076924,0.04741856925360752,0.0612,200.0
530,0.621,0.06279596590015424,0.641320754716981,0.048728543447969556,0.0612,200.0
540,0.6234999999999999,0.06364179269770597,0.6405555555555555,0.04962479246742342,0.0612,200.0
550,0.618,0.06473020933072902,0.6389090909090909,0.048614976889446646,0.0612,200.0
560,0.615,0.06883958809354461,0.6375,0.05002833664154925,0.0612,200.0
570,0.6165,0.06802981372571555,0.6382456140350877,0.04957188214020874,0.0612,200.0
580,0.6205,0.06689336456048703,0.638448275862069,0.04960572516704761,0.0612,200.0
590,0.624,0.06467010300148147,0.6394915254237288,0.049065121296790325,0.0612,200.0
600,0.625,0.0670820393249937,0.6385,0.0490870353253997,0.0612,200.0
610,0.6245,0.0616644143732834,0.6370491803278688,0.04652324359982994,0.0612,200.0
620,0.618,0.06575205953681855,0.6359677419354839,0.04626187104107514,0.0612,200.0
630,0.6174999999999999,0.06717514421272201,0.6350793650793651,0.04478610175664783,0.0612,200.0
640,0.612,0.07208020224413604,0.63296875,0.04423374672078248,0.0612,200.0
650,0.6,0.07329544475765339,0.6312307692307693,0.04411478661879813,0.0612,200.0
660,0.5955,0.06989873627851458,0.6301515151515151,0.04365372129521276,0.0612,200.0
670,0.593,0.0655828568385909,0.6294029850746269,0.04421455482356555,0.0612,200.0
680,0.5945,0.06693487714023068,0.6295588235294118,0.0436602102167489,0.0612,200.0
690,0.591,0.0682234889495139,0.6291304347826088,0.042706243022225095,0.0612,200.0
700,0.587,0.07265596251436553,0.6285714285714286,0.04255981518381779,0.0612,200.0
710,0.5885,0.0712994467798391,0.6280281690140845,0.04156162783488386,0.0612,200.0
720,0.588,0.07091465919602863,0.6272222222222222,0.04076283071165307,0.0612,200.0
730,0.583,0.06957010852370434,0.6253424657534247,0.03947725603010839,0.0612,200.0
740,0.5835,0.07047655244437291,0.6251351351351351,0.03935813227389737,0.0612,200.0
750,0.5854999999999999,0.07216685912214522,0.6246666666666666,0.03839881685420097,0.0612,200.0
760,0.5900000000000001,0.07619419633774975,0.625,0.03783641548454334,0.0612,200.0
770,0.5854999999999999,0.08032745483332586,0.6245454545454546,0.038547346736752135,0.0612,200.0
780,0.5835,0.0822952003460712,0.6243589743589744,0.039339458026889075,0.0612,200.0
790,0.5765,0.07958398778090424,0.6235443037974684,0.03900706389217499,0.0612,200.0
800,0.5814999999999999,0.07944425019401267,0.62425,0.038542004503023856,0.0612,200.0
810,0.5835,0.07188146106225472,0.6238271604938271,0.03827846303436435,0.0612,200.0
820,0.591,0.06895247961055821,0.625,0.039688830318271175,0.0612,200.0
830,0.594,0.06678323142825598,0.6251807228915662,0.03977505660766673,0.0612,200.0
840,0.599,0.06419588079550827,0.6248809523809523,0.040149828049019516,0.0612,200.0
850,0.6064999999999999,0.07359989432359562,0.6254117647058823,0.04104441944468141,0.0612,200.0
860,0.6045,0.0735772458788117,0.6241860465116279,0.04093801312000925,0.0612,200.0
870,0.6064999999999999,0.07831737426083127,0.6241379310344828,0.04178529376400968,0.0612,200.0
880,0.602,0.07927448797970534,0.6232954545454545,0.04200704633926027,0.0612,200.0
890,0.6014999999999999,0.0789180306112333,0.6229213483146068,0.04278261923728139,0.0612,200.0
900,0.601,0.08033955715862792,0.6224444444444444,0.0430994002167058,0.0612,200.0
910,0.5975,0.0797652806677191,0.6213186813186813,0.04307168989667213,0.0612,200.0
920,0.603,0.08426809070526702,0.6219565217391304,0.04461320616422011,0.0612,200.0
930,0.609,0.08881316218769478,0.6218279569892473,0.044706850518317354,0.0612,200.0
940,0.608,0.09310090105781886,0.6214893617021277,0.044638052225129586,0.0612,200.0
950,0.6065,0.09210652045925476,0.6208421052631579,0.04362406907766856,0.0612,200.0
960,0.6085,0.08922661536161106,0.6215625,0.04350972933802162,0.0612,200.0
970,0.616,0.08295915996574596,0.6227835051546392,0.04261293092067191,0.0612,200.0
980,0.619,0.08319321553534947,0.6232653061224489,0.04235151465592222,0.0612,200.0
990,0.6255,0.08234244214120552,0.6239393939393939,0.0423307451364983,0.0612,200.0
1000,0.6214999999999999,0.07933928549099888,0.6237,0.04261468187269631,0.0612,200.0
