Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
190,0.628421052631579,0.06331364810464539,0.628421052631579,0.06331364810464539,0.04,1000.0
380,0.658421052631579,0.03466410957257115,0.658421052631579,0.03466410957257115,0.04,1000.0
570,0.6728070175438596,0.03210787279416213,0.6728070175438596,0.03210787279416213,0.04,1000.0
760,0.6814473684210526,0.02721737728633249,0.6814473684210526,0.02721737728633249,0.04,1000.0
950,0.6813684210526316,0.020459781205289074,0.6813684210526316,0.020459781205289074,0.04,1000.0
1140,0.6942999999999999,0.01218423389284505,0.6823684210526315,0.018471804217275182,0.04,1000.0
1330,0.6910999999999999,0.016649657987811955,0.6818045112781955,0.019593163628661824,0.04,1000.0
1520,0.6937,0.016371044899795174,0.6848684210526316,0.019824367333314954,0.04,1000.0
1710,0.6897,0.0166736651972837,0.6859649122807017,0.01986583362744214,0.04,1000.0
1900,0.6883,0.019471061147821968,0.6841578947368421,0.018780044155420183,0.04,1000.0
2090,0.6883,0.01556384699659222,0.6848803827751195,0.016692706472717356,0.04,1000.0
2280,0.6923,0.016028100324118222,0.6864035087719298,0.015386341657219728,0.04,1000.0
2470,0.6919000000000001,0.01637375949499683,0.6865587044534414,0.015332202310944896,0.04,1000.0
2660,0.6898,0.017093208527885456,0.6872556390977443,0.01374161717238169,0.04,1000.0
2850,0.6967,0.018666964283341695,0.6889122807017544,0.012309295589448498,0.04,1000.0
3040,0.694,0.017676098111417106,0.6879276315789473,0.011216467500862618,0.04,1000.0
3230,0.6934,0.019917608067012208,0.6881733746130031,0.011301888104782717,0.04,1000.0
3420,0.6919,0.014722997883130516,0.688187134502924,0.01067614115888415,0.04,1000.0
3610,0.6944,0.01583385964037545,0.688781163434903,0.010945042014333878,0.04,1000.0
3800,0.6905,0.01226784414638524,0.6892631578947369,0.011008544765951502,0.04,1000.0
3990,0.6928,0.016171305176488102,0.6891228070175439,0.010489253287049709,0.04,1000.0
4180,0.6950000000000001,0.016812693617224622,0.6893301435406698,0.009654854822696563,0.04,1000.0
4370,0.6951,0.022595230568516953,0.6897025171624713,0.009668323861671617,0.04,1000.0
4560,0.6923,0.021489273810180006,0.6896052631578947,0.009243073469794432,0.04,1000.0
4750,0.6938,0.020059910268991697,0.6899368421052632,0.0083132278236712,0.04,1000.0
4940,0.6949,0.019318672602203033,0.6903643724696356,0.00792334804224696,0.04,1000.0
5130,0.6974,0.021072362099310144,0.6907407407407408,0.007028515236520149,0.04,1000.0
5320,0.7028,0.01696270418693119,0.6917105263157894,0.006221933861509914,0.04,1000.0
5510,0.7041999999999999,0.016956152603439013,0.6922323049001815,0.005623726953431191,0.04,1000.0
5700,0.7024999999999999,0.014653403093555502,0.6920526315789474,0.005309767624738386,0.04,1000.0
5890,0.7037,0.016214191315017834,0.6924617996604414,0.00510606481479232,0.04,1000.0
6080,0.7059,0.01582859578245791,0.6928782894736842,0.005011606690446597,0.04,1000.0
6270,0.7043999999999999,0.014953260514014986,0.6935247208931419,0.004593129143991461,0.04,1000.0
6460,0.7029,0.015058773743790247,0.6937151702786377,0.004513828546624859,0.04,1000.0
6650,0.7043,0.015070574714396939,0.6938345864661655,0.004704308052792015,0.04,1000.0
6840,0.7036,0.013882042757141735,0.6939181286549708,0.004777916558277653,0.04,1000.0
7030,0.698,0.012328828005937926,0.693655761024182,0.004077872240396034,0.04,1000.0
7220,0.6954,0.01668798636411499,0.6936149584487534,0.004268710144710711,0.04,1000.0
7410,0.6913,0.017926082796987264,0.6934412955465588,0.004678881593411244,0.04,1000.0
7600,0.6896,0.016654662343553426,0.6931973684210526,0.00432992710077906,0.04,1000.0
7790,0.6876,0.01808744192956965,0.693196405648267,0.004471493531061387,0.04,1000.0
7980,0.6869,0.013477965556995406,0.6926691729323309,0.0038566507465158367,0.04,1000.0
8170,0.6851,0.01741933791317375,0.6925214198286413,0.004111850130772536,0.04,1000.0
8360,0.6844,0.019454790898102408,0.6922368421052632,0.004453749791178143,0.04,1000.0
8550,0.6823,0.0167401712456394,0.6919649122807018,0.004219919491435123,0.04,1000.0
8740,0.6823,0.019922349259060747,0.6918649885583524,0.004192652258183863,0.04,1000.0
8930,0.6819,0.025387879872971753,0.6914557670772676,0.004838769283190601,0.04,1000.0
9120,0.6827,0.028495808658662584,0.691359649122807,0.004986805458983664,0.04,1000.0
9310,0.6858,0.023093048497088636,0.6914607948442535,0.004949801848441973,0.04,1000.0
9500,0.6884,0.021308318667704485,0.6917052631578947,0.004946945359539978,0.04,1000.0
9690,0.6902999999999999,0.018147849581822192,0.6917131062951496,0.005096049585590395,0.04,1000.0
9880,0.6942,0.014763317904710787,0.691831983805668,0.005140188162467386,0.04,1000.0
10070,0.6928,0.011143508324480977,0.691648460774578,0.0051091257096050275,0.04,1000.0
10260,0.6915,0.014660983747499481,0.6914522417153997,0.005345549522246356,0.04,1000.0
10450,0.6917,0.016964341687459826,0.6915693779904306,0.0051708988919369845,0.04,1000.0
10640,0.6938,0.016711938513795682,0.6918703007518797,0.005205075818134004,0.04,1000.0
10830,0.6923999999999999,0.01534926708347986,0.6919390581717451,0.005389182698946913,0.04,1000.0
11020,0.6897,0.01658010856418008,0.6916243194192377,0.005428161170265774,0.04,1000.0
11210,0.6938,0.016817979796766445,0.6916057091882248,0.005798844115918736,0.04,1000.0
11400,0.6936,0.017225304383699878,0.6916929824561404,0.005740690270068083,0.04,1000.0
11590,0.6914,0.01792081347359977,0.6917515099223468,0.005806643757400831,0.04,1000.0
11780,0.6909,0.021553293122964834,0.6917402376910017,0.005909041461791863,0.04,1000.0
11970,0.6894,0.020683863812697587,0.6915121136173767,0.006082626136040138,0.04,1000.0
12160,0.6866000000000001,0.01552202735899316,0.6912335526315789,0.0058489354072843325,0.04,1000.0
12350,0.6836,0.016800793632048044,0.6911417004048583,0.005974272246686146,0.04,1000.0
12540,0.6896,0.014554113584214648,0.6915550239234449,0.00570996770107666,0.04,1000.0
12730,0.6979,0.01616890018935526,0.692152395915161,0.0054094978230062474,0.04,1000.0
12920,0.7095,0.012076147288491206,0.6930804953560371,0.005093639862776574,0.04,1000.0
13110,0.7291,0.012913816889930985,0.6941342486651412,0.005178579030027628,0.04,1000.0
13300,0.7462,0.014069667926271593,0.6952481203007519,0.005117792031498321,0.04,1000.0
13490,0.7557,0.014445683707522408,0.6961156412157153,0.005011884460231809,0.04,1000.0
13680,0.761,0.01583245611605057,0.6970540935672515,0.004567663947032871,0.04,1000.0
13870,0.7605000000000001,0.014916433890176316,0.6977865897620764,0.00457985666164687,0.04,1000.0
14060,0.7588,0.010992927018971995,0.6985277382645804,0.004786540078008071,0.04,1000.0
14250,0.7559,0.014161371559437495,0.6992561403508771,0.004899699846126077,0.04,1000.0
14440,0.7528,0.015604842553230431,0.6999030470914127,0.004792390542108358,0.04,1000.0
14630,0.7505,0.01828934115817188,0.7005536568694464,0.004790267879923118,0.04,1000.0
14820,0.7538,0.019048476171191344,0.7013157894736842,0.004795335352119337,0.04,1000.0
15010,0.7537,0.015144122438901652,0.7019853431045969,0.004578908804963864,0.04,1000.0
15200,0.7542,0.013886844293951199,0.7027171052631579,0.00476014108366017,0.04,1000.0
15390,0.7546999999999999,0.012570247058475476,0.7033658219623132,0.004675834996948295,0.04,1000.0
15580,0.758,0.009225568335398702,0.7041527599486521,0.00464206834535161,0.04,1000.0
15770,0.7565999999999999,0.012411464234506933,0.704559289790742,0.0046172475828422516,0.04,1000.0
15960,0.7529,0.014632156368765348,0.7049874686716792,0.004741267626598339,0.04,1000.0
16150,0.7515,0.012860361149240308,0.7054736842105263,0.004639897314565111,0.04,1000.0
16340,0.7533000000000001,0.010274564062122868,0.7062729498164015,0.004719928892993429,0.04,1000.0
16530,0.7487999999999999,0.008740709353364857,0.70659407138536,0.004704020427287229,0.04,1000.0
16720,0.7511,0.010629623177182182,0.7071650717703349,0.004636597076785088,0.04,1000.0
16910,0.7533000000000001,0.012428014948315576,0.7076759314015375,0.004504468883964053,0.04,1000.0
17100,0.7538,0.015134948518798043,0.708233918128655,0.004487310805210804,0.04,1000.0
17290,0.7527,0.013872835166452293,0.708744939271255,0.004501281603650502,0.04,1000.0
17480,0.7551,0.012467290536974497,0.7091933638443936,0.004407803059986385,0.04,1000.0
17670,0.7571,0.013811830677599087,0.7097849462365591,0.004443465087022566,0.04,1000.0
17860,0.7558,0.010633281086601016,0.7102743561030235,0.0044315336274784725,0.04,1000.0
18050,0.7543,0.004922736366426019,0.7106537396121884,0.004291398262937916,0.04,1000.0
18240,0.7563,0.00910494371207204,0.7111951754385964,0.0041621596379134585,0.04,1000.0
18430,0.7584,0.013048627003124388,0.711709169831796,0.004087602456055129,0.04,1000.0
18620,0.7584,0.014856349185150159,0.7121911922663802,0.004222571555710591,0.04,1000.0
18810,0.7595,0.014362373681873715,0.7127379053694843,0.004110310491304493,0.04,1000.0
19000,0.7613000000000001,0.011585910984179621,0.7132157894736842,0.004343829181085242,0.04,1000.0
19020,0.7619,0.012096372275282478,0.713286014721346,0.004332645488190932,0.04,1000.0
