Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
10,0.49000000000000005,0.2726414006223804,0.49000000000000005,0.2726414006223804,0.0536,70.0
20,0.53,0.16193277068654824,0.53,0.16193277068654824,0.0536,70.0
30,0.5433333333333333,0.14993825889839282,0.5433333333333333,0.14993825889839282,0.0536,70.0
40,0.5275000000000001,0.15654694006733075,0.5275000000000001,0.15654694006733075,0.0536,70.0
50,0.522,0.15984714921171134,0.522,0.15984714921171134,0.0536,70.0
60,0.5599999999999999,0.14470062752088628,0.5599999999999999,0.14470062752088628,0.0536,70.0
70,0.5928571428571429,0.13097402418547682,0.5928571428571429,0.13097402418547682,0.0536,70.0
80,0.6314285714285715,0.12827125453206198,0.61375,0.11777007967504594,0.0536,70.0
90,0.65,0.14510141890659609,0.6233333333333333,0.11914763582247469,0.0536,70.0
100,0.6728571428571428,0.14419217461414002,0.634,0.11520030864156185,0.0536,70.0
110,0.7142857142857142,0.12399253872658608,0.6463636363636364,0.11104727275373423,0.0536,70.0
120,0.7542857142857142,0.11364902011562895,0.6575,0.10588034826231045,0.0536,70.0
130,0.7557142857142857,0.10156373734637858,0.6653846153846155,0.09852628747097872,0.0536,70.0
140,0.7514285714285714,0.10217587433955312,0.6721428571428572,0.09334122901490856,0.0536,70.0
150,0.7571428571428571,0.09642122253007898,0.6806666666666666,0.08818891058754093,0.0536,70.0
160,0.77,0.06980699014436788,0.6875,0.08594854726973444,0.0536,70.0
170,0.76,0.050753952740854216,0.6858823529411764,0.08099724460262825,0.0536,70.0
180,0.7528571428571429,0.053895843112079664,0.6877777777777777,0.07750392706542303,0.0536,70.0
190,0.7528571428571429,0.054314946181367146,0.6926315789473685,0.0743992043828692,0.0536,70.0
200,0.7414285714285714,0.054063874207561834,0.692,0.0703641322771134,0.0536,70.0
210,0.7428571428571429,0.057538314159974166,0.6957142857142857,0.0670228579819116,0.0536,70.0
220,0.7342857142857142,0.059931934181151524,0.6977272727272728,0.06897684630357603,0.0536,70.0
230,0.7214285714285714,0.06181311897974843,0.6978260869565217,0.0698439464349072,0.0536,70.0
240,0.7342857142857142,0.07101467383736096,0.7,0.07002534814419739,0.0536,70.0
250,0.7371428571428572,0.07830401825178848,0.7016,0.07063395469287806,0.0536,70.0
260,0.7228571428571429,0.0646637912257827,0.7007692307692308,0.06715305802300364,0.0536,70.0
270,0.7271428571428571,0.08093837413837311,0.7011111111111111,0.06802569961834846,0.0536,70.0
280,0.72,0.09336248330020926,0.7017857142857142,0.06766367574905326,0.0536,70.0
290,0.72,0.07595200776143576,0.703103448275862,0.06425379885419334,0.0536,70.0
300,0.7257142857142858,0.08324485098442728,0.7043333333333333,0.0635192203826896,0.0536,70.0
310,0.7228571428571429,0.09623289965005048,0.7051612903225807,0.06526802004792111,0.0536,70.0
320,0.72,0.08733909728084094,0.705625,0.06633707589944624,0.0536,70.0
330,0.7071428571428571,0.07946818699180302,0.7021212121212121,0.06499354429417108,0.0536,70.0
340,0.7114285714285714,0.0912995120853857,0.7032352941176471,0.06780246428989996,0.0536,70.0
350,0.7128571428571429,0.10066671171778963,0.704,0.06887762324679174,0.0536,70.0
351,0.7128571428571429,0.10089171582441973,0.7042735042735042,0.06855784637383648,0.0536,70.0
