Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,WindowSize_mean
65,0.5261538461538462,0.16614118343644377,0.5261538461538462,0.16614118343644377,0.04,1000.0
130,0.6799999999999999,0.07424394285478506,0.6799999999999999,0.07424394285478506,0.04,1000.0
195,0.7287179487179487,0.044801328471375246,0.7287179487179487,0.044801328471375246,0.04,1000.0
260,0.7538461538461538,0.03468653656017612,0.7538461538461538,0.03468653656017612,0.04,1000.0
325,0.7741538461538461,0.03098047146344458,0.7741538461538461,0.03098047146344458,0.04,1000.0
390,0.7843589743589743,0.02864076930613966,0.7843589743589743,0.02864076930613966,0.04,1000.0
455,0.7898901098901099,0.023171502215879155,0.7898901098901099,0.023171502215879155,0.04,1000.0
520,0.7930769230769231,0.021264280501501778,0.7930769230769231,0.021264280501501778,0.04,1000.0
585,0.7970940170940171,0.01823450852527344,0.7970940170940171,0.01823450852527344,0.04,1000.0
650,0.7998461538461539,0.01900136678014186,0.7998461538461539,0.01900136678014186,0.04,1000.0
715,0.7998601398601399,0.017449230159149197,0.7998601398601399,0.017449230159149197,0.04,1000.0
780,0.8035897435897436,0.016192013879174044,0.8035897435897436,0.016192013879174044,0.04,1000.0
845,0.8050887573964497,0.014876032021864447,0.8050887573964497,0.014876032021864447,0.04,1000.0
910,0.8076923076923077,0.01703198232609916,0.8076923076923077,0.01703198232609916,0.04,1000.0
975,0.8092307692307692,0.01565946323500689,0.8092307692307692,0.01565946323500689,0.04,1000.0
1040,0.8221999999999999,0.016995424220784948,0.8088461538461539,0.01570709040594028,0.04,1000.0
1105,0.8275,0.013268592824996761,0.8098642533936651,0.015043387010227421,0.04,1000.0
1170,0.8269,0.012740573857649498,0.8103418803418803,0.0142304769126598,0.04,1000.0
1235,0.8275,0.010783217413081164,0.8123886639676113,0.012262447318948714,0.04,1000.0
1300,0.8256,0.01274711296289826,0.8119999999999999,0.010653838439936739,0.04,1000.0
1365,0.8247,0.015470760952339863,0.8127472527472527,0.009689550587653008,0.04,1000.0
1430,0.8263,0.01376024870576268,0.8147552447552447,0.007907906083085108,0.04,1000.0
1495,0.828,0.012692955176439803,0.8160535117056856,0.00805766376793431,0.04,1000.0
1560,0.8298,0.01220018214800267,0.8175641025641026,0.00714583075763365,0.04,1000.0
1625,0.8297000000000001,0.014360826345769004,0.8181538461538462,0.006987920450008525,0.04,1000.0
1690,0.8315999999999999,0.014135848832745145,0.8189940828402367,0.007297563831157817,0.04,1000.0
1755,0.8324,0.013376596477928654,0.8193732193732194,0.007390342434318589,0.04,1000.0
1820,0.8327,0.015107393333508376,0.82010989010989,0.008441614269832014,0.04,1000.0
1885,0.8343999999999999,0.015579188397060698,0.8211671087533157,0.008599511495513917,0.04,1000.0
1950,0.8359,0.016809058404456914,0.8226666666666667,0.009452234092780905,0.04,1000.0
2015,0.8387,0.015311941599795759,0.823424317617866,0.009536918470746954,0.04,1000.0
2080,0.8414999999999999,0.016701629993639663,0.8248557692307692,0.009663474826711978,0.04,1000.0
2145,0.8448,0.01810340667756576,0.8262470862470863,0.00925394551242492,0.04,1000.0
2210,0.8436999999999999,0.017365674955689667,0.8263800904977376,0.008820757321955395,0.04,1000.0
2275,0.8449,0.019156954060833627,0.8265494505494505,0.009285725122996911,0.04,1000.0
2340,0.8465,0.015020356557389432,0.8268803418803419,0.009355081646745152,0.04,1000.0
2405,0.8478999999999999,0.016596184300414762,0.8276923076923077,0.009958398256913217,0.04,1000.0
