Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
10,0.55,0.13540064007726596,0.55,0.13540064007726596,0.001,0.0,138.0,0.0
20,0.5700000000000001,0.11352924243950933,0.5700000000000001,0.11352924243950933,0.001,0.0,138.0,0.0
30,0.55,0.06894263136661585,0.55,0.06894263136661585,0.001,0.0,138.0,0.0
40,0.5275000000000001,0.09750356118852505,0.5275000000000001,0.09750356118852505,0.001,0.0,138.0,0.0
50,0.55,0.08286535263104033,0.55,0.08286535263104033,0.001,0.0,138.0,0.0
60,0.5466666666666666,0.0815740215243451,0.5466666666666666,0.0815740215243451,0.001,0.0,138.0,0.0
70,0.5557142857142857,0.058106946517263246,0.5557142857142857,0.058106946517263246,0.001,0.0,138.0,0.0
80,0.5525,0.05197488709837561,0.5525,0.05197488709837561,0.001,0.0,138.0,0.0
90,0.5511111111111111,0.047198614287626645,0.5511111111111111,0.047198614287626645,0.001,0.0,138.0,0.0
100,0.5509999999999999,0.046296148147911095,0.5509999999999999,0.046296148147911095,0.001,0.0,138.0,0.0
110,0.5609090909090909,0.04516066614608885,0.5609090909090909,0.04516066614608885,0.001,0.0,138.0,0.0
120,0.5558333333333334,0.035799941375219274,0.5558333333333334,0.035799941375219274,0.001,0.0,138.0,0.0
130,0.5515384615384615,0.03284654416389719,0.5515384615384615,0.03284654416389719,0.001,0.0,138.0,0.0
140,0.553623188405797,0.034533460870843496,0.5528571428571428,0.03319700011034928,0.001,0.0,138.0,0.0
150,0.5492753623188407,0.03546696588015005,0.55,0.030991834846625255,0.001,0.0,138.0,0.0
160,0.5492753623188406,0.0325504937737643,0.55125,0.02353336874407157,0.001,0.0,138.0,0.0
170,0.5514492753623188,0.03354793344051528,0.5511764705882353,0.02631398848528753,0.001,0.0,138.0,0.0
180,0.5550724637681159,0.03760676416623873,0.5483333333333333,0.02869474173115751,0.001,0.0,138.0,0.0
190,0.5456521739130434,0.035177906733818216,0.5442105263157895,0.02651387436815796,0.001,0.0,138.0,0.0
200,0.5507246376811594,0.031678446977304334,0.5495,0.027431733448690373,0.001,0.0,138.0,0.0
210,0.553623188405797,0.032800473810179545,0.5552380952380952,0.029881769208254198,0.001,0.0,138.0,0.0
220,0.5557971014492754,0.030562953793017662,0.5536363636363636,0.02622569275565915,0.001,0.0,138.0,0.0
230,0.558695652173913,0.03194438736833162,0.5543478260869565,0.026899581439522587,0.001,0.0,138.0,0.0
240,0.553623188405797,0.01748498654188778,0.5533333333333333,0.023057228854941273,0.001,0.0,138.0,0.0
250,0.5442028985507246,0.016185377360145848,0.5516,0.022187083329420883,0.001,0.0,138.0,0.0
260,0.5442028985507246,0.01467279473283811,0.5496153846153846,0.022966258874266305,0.001,0.0,138.0,0.0
270,0.5478260869565218,0.02346851749080413,0.5503703703703704,0.024703700618826242,0.001,0.0,138.0,0.0
280,0.5528985507246377,0.02557422402428295,0.5510714285714287,0.024689110032461874,0.001,0.0,138.0,0.0
290,0.553623188405797,0.021112824525035895,0.5510344827586208,0.021977780970514216,0.001,0.0,138.0,0.0
300,0.5463768115942029,0.026283034799488795,0.5496666666666667,0.022024116971970997,0.001,0.0,138.0,0.0
310,0.5630434782608695,0.025345059689999387,0.5551612903225807,0.021529556298890647,0.001,0.0,138.0,0.0
320,0.5666666666666667,0.032190012075280564,0.5546875,0.023210708286622094,0.001,0.0,138.0,0.0
330,0.5739130434782609,0.02505565696597087,0.5557575757575758,0.02223140306220168,0.001,0.0,138.0,0.0
340,0.567391304347826,0.030178740481421218,0.5567647058823529,0.02353145415972424,0.001,0.0,138.0,0.0
350,0.553623188405797,0.024442725875697638,0.5551428571428572,0.02188612043222134,0.001,0.0,138.0,0.0
360,0.5601449275362318,0.03330356438690662,0.5563888888888889,0.01893286456847394,0.001,0.0,138.0,0.0
370,0.5652173913043479,0.035989527598433206,0.5578378378378378,0.0191194859746051,0.001,0.0,138.0,0.0
380,0.5688405797101449,0.041310703807939775,0.5576315789473684,0.018709109511175017,0.001,0.0,138.0,0.0
390,0.572463768115942,0.04453886211252602,0.5576923076923077,0.018301378722533186,0.001,0.0,138.0,0.0
400,0.5688405797101449,0.04496258567387989,0.5559999999999999,0.01803545890122506,0.001,0.0,138.0,0.0
410,0.5644927536231884,0.04848398325591808,0.5551219512195121,0.019721103873765952,0.001,0.0,138.0,0.0
420,0.5615942028985508,0.05382193225883376,0.5547619047619048,0.02010930072907923,0.001,0.0,138.0,0.0
430,0.5666666666666667,0.05683262287865793,0.556046511627907,0.019471102966450677,0.001,0.0,138.0,0.0
440,0.5717391304347826,0.048843661652499905,0.5577272727272727,0.019818969495976863,0.001,0.0,138.0,0.0
450,0.5594202898550724,0.035957089982470346,0.5566666666666666,0.017816316253045462,0.001,0.0,138.0,0.0
460,0.5702898550724638,0.03205378627542733,0.5589130434782609,0.015250137300059221,0.001,0.0,138.0,0.0
470,0.5630434782608695,0.028793648444803102,0.5578723404255319,0.012836683514041158,0.001,0.0,138.0,0.0
480,0.5644927536231884,0.029671826355704232,0.558125,0.012046159292641953,0.001,0.0,138.0,0.0
490,0.5717391304347826,0.03622383163336703,0.559795918367347,0.011901846095785306,0.001,0.0,138.0,0.0
500,0.5652173913043479,0.02439493946464268,0.5596,0.011768130220595288,0.001,0.0,138.0,0.0
510,0.5565217391304348,0.02181949717997337,0.5576470588235294,0.012510835151901071,0.001,0.0,138.0,0.0
520,0.5521739130434783,0.03013036933239164,0.5563461538461538,0.011821666888431545,0.001,0.0,138.0,0.0
530,0.5543478260869565,0.0273811208907117,0.5560377358490566,0.01248550443086545,0.001,0.0,138.0,0.0
540,0.5478260869565218,0.0318986937569453,0.5544444444444444,0.013641835650924694,0.001,0.0,138.0,0.0
550,0.5521739130434782,0.03343469849854741,0.5541818181818182,0.01397360755098626,0.001,0.0,138.0,0.0
560,0.5492753623188407,0.03463468276122691,0.55375,0.011947838730922672,0.001,0.0,138.0,0.0
570,0.5485507246376812,0.035672002655261076,0.5543859649122808,0.010196254838691621,0.001,0.0,138.0,0.0
580,0.5485507246376812,0.038351829125412185,0.5548275862068965,0.008670355018687877,0.001,0.0,138.0,0.0
590,0.5492753623188407,0.03785417975683038,0.5550847457627118,0.00976110313173499,0.001,0.0,138.0,0.0
600,0.5521739130434782,0.030130369332391674,0.5575,0.00821208083283024,0.001,0.0,138.0,0.0
610,0.5615942028985508,0.0300236784895074,0.5580327868852459,0.009051925351190693,0.001,0.0,138.0,0.0
620,0.558695652173913,0.027845957076240765,0.5582258064516129,0.007695875530011542,0.001,0.0,138.0,0.0
630,0.55,0.028467595204997274,0.5574603174603174,0.0073619162458946515,0.001,0.0,138.0,0.0
640,0.555072463768116,0.027156462459043854,0.55796875,0.006523944279217372,0.001,0.0,138.0,0.0
650,0.5579710144927537,0.033469580822587004,0.557076923076923,0.005351546809515746,0.001,0.0,138.0,0.0
660,0.5601449275362318,0.030562953793017655,0.5568181818181819,0.005212062484987486,0.001,0.0,138.0,0.0
670,0.5601449275362318,0.03679910270263412,0.5564179104477611,0.003775853922589115,0.001,0.0,138.0,0.0
680,0.5557971014492754,0.04709215813230411,0.5551470588235294,0.002426346798189131,0.001,0.0,138.0,0.0
690,0.5579710144927537,0.05335923196708822,0.5550724637681159,0.0,0.001,0.0,138.0,0.0
