Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
10,0.32,0.15491933384829668,0.32,0.15491933384829668,0.001,0.0,70.0,0.0
20,0.35,0.08164965809277264,0.35,0.08164965809277264,0.001,0.0,70.0,0.0
30,0.35,0.05030769521187453,0.35,0.05030769521187453,0.001,0.0,70.0,0.0
40,0.34750000000000003,0.05945352993912323,0.34750000000000003,0.05945352993912323,0.001,0.0,70.0,0.0
50,0.348,0.06196773353931866,0.348,0.06196773353931866,0.001,0.0,70.0,0.0
60,0.3433333333333333,0.06535751631045665,0.3433333333333333,0.06535751631045665,0.001,0.0,70.0,0.0
70,0.35,0.06675164651845804,0.35,0.06675164651845804,0.001,0.0,70.0,0.0
80,0.3557142857142857,0.06544804589915683,0.35125,0.06192793751163076,0.001,0.0,70.0,0.0
90,0.3514285714285714,0.0646637912257827,0.3511111111111111,0.05548143203281186,0.001,0.0,70.0,0.0
100,0.34714285714285714,0.05347345538525635,0.348,0.04442221666388716,0.001,0.0,70.0,0.0
110,0.34428571428571425,0.06297607795471091,0.34545454545454546,0.044741888061313344,0.001,0.0,70.0,0.0
120,0.3442857142857143,0.05059733889195999,0.3458333333333333,0.042718212497860265,0.001,0.0,70.0,0.0
130,0.34285714285714286,0.05553287518900288,0.3430769230769231,0.0361165474085313,0.001,0.0,70.0,0.0
140,0.3442857142857143,0.06188644417632279,0.34714285714285714,0.0345361225989881,0.001,0.0,70.0,0.0
150,0.3385714285714286,0.0575580156891117,0.3453333333333333,0.03107934886586148,0.001,0.0,70.0,0.0
160,0.34285714285714286,0.06060915267313265,0.3475,0.03134707145634003,0.001,0.0,70.0,0.0
170,0.3514285714285714,0.033128623106525895,0.34941176470588237,0.03248043802486064,0.001,0.0,70.0,0.0
180,0.3585714285714286,0.02647036592321391,0.35055555555555556,0.025586401137761457,0.001,0.0,70.0,0.0
190,0.35285714285714287,0.03089738704287303,0.34842105263157896,0.02749408845496102,0.001,0.0,70.0,0.0
200,0.3685714285714286,0.04301558015480464,0.352,0.024743124746527508,0.001,0.0,70.0,0.0
210,0.37,0.03190831536714469,0.3547619047619047,0.020109300729079245,0.001,0.0,70.0,0.0
220,0.3685714285714286,0.03353679402220764,0.3527272727272727,0.017953106961937727,0.001,0.0,70.0,0.0
230,0.3628571428571429,0.04269811765992361,0.3521739130434783,0.01574316013217423,0.001,0.0,70.0,0.0
240,0.3657142857142857,0.0803055389860297,0.3541666666666667,0.013749298523071751,0.001,0.0,70.0,0.0
250,0.36428571428571427,0.08812740725391308,0.3544,0.014385177556545253,0.001,0.0,70.0,0.0
260,0.38285714285714284,0.10164185043394865,0.3576923076923077,0.014504754485877914,0.001,0.0,70.0,0.0
270,0.38,0.09408829741126452,0.3592592592592593,0.013410840112592859,0.001,0.0,70.0,0.0
280,0.3742857142857143,0.08159409520230056,0.35964285714285715,0.010917387160105114,0.001,0.0,70.0,0.0
290,0.3871428571428571,0.0668195525853754,0.36103448275862066,0.009202583402872697,0.001,0.0,70.0,0.0
300,0.3842857142857143,0.07172952471997351,0.3596666666666667,0.008081376242652526,0.001,0.0,70.0,0.0
310,0.3757142857142857,0.05795063972029067,0.3590322580645161,0.006976829332261648,0.001,0.0,70.0,0.0
320,0.37,0.058106946517263246,0.3578125,0.00694878336673246,0.001,0.0,70.0,0.0
330,0.36142857142857143,0.057558015689111675,0.3584848484848485,0.005160420110886791,0.001,0.0,70.0,0.0
340,0.35428571428571426,0.061647818410218144,0.3582352941176471,0.004556450995538148,0.001,0.0,70.0,0.0
350,0.35428571428571426,0.04405727049988717,0.3585714285714286,0.0015058465048420767,0.001,0.0,70.0,0.0
351,0.36,0.044568986502086086,0.358974358974359,0.0,0.001,0.0,70.0,0.0
