Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
65,0.8584615384615384,0.05747251579947443,0.8584615384615384,0.05747251579947443,0.001,0.0,1000.0,0.0
130,0.8569230769230769,0.03789323733725369,0.8569230769230769,0.03789323733725369,0.001,0.0,1000.0,0.0
195,0.8492307692307692,0.035380899098790455,0.8492307692307692,0.035380899098790455,0.001,0.0,1000.0,0.0
260,0.8457692307692307,0.02253275794930805,0.8457692307692307,0.02253275794930805,0.001,0.0,1000.0,0.0
325,0.8495384615384616,0.019321835661585914,0.8495384615384616,0.019321835661585914,0.001,0.0,1000.0,0.0
390,0.8464102564102565,0.01846826404874627,0.8464102564102565,0.01846826404874627,0.001,0.0,1000.0,0.0
455,0.8457142857142858,0.017268255552921427,0.8457142857142858,0.017268255552921427,0.001,0.0,1000.0,0.0
520,0.8434615384615384,0.01681883199857194,0.8434615384615384,0.01681883199857194,0.001,0.0,1000.0,0.0
585,0.8434188034188035,0.01634046571298909,0.8434188034188035,0.01634046571298909,0.001,0.0,1000.0,0.0
650,0.8460000000000001,0.015443477140634257,0.8460000000000001,0.015443477140634257,0.001,0.0,1000.0,0.0
715,0.844055944055944,0.0162335527706109,0.844055944055944,0.0162335527706109,0.001,0.0,1000.0,0.0
780,0.8456410256410256,0.014682457182225448,0.8456410256410256,0.014682457182225448,0.001,0.0,1000.0,0.0
845,0.8454437869822484,0.012784960567387546,0.8454437869822484,0.012784960567387546,0.001,0.0,1000.0,0.0
910,0.8468131868131868,0.01186044159110486,0.8468131868131868,0.01186044159110486,0.001,0.0,1000.0,0.0
975,0.8465641025641025,0.011805519781823079,0.8465641025641025,0.011805519781823079,0.001,0.0,1000.0,0.0
1040,0.8462,0.012638565319423466,0.8466346153846154,0.012838529007929297,0.001,0.0,1000.0,0.0
1105,0.8458,0.010347302385968368,0.8468778280542987,0.01103264381361087,0.001,0.0,1000.0,0.0
1170,0.8462,0.01053881713792714,0.8468376068376069,0.010944028284840581,0.001,0.0,1000.0,0.0
1235,0.8468,0.009953223933312612,0.8475303643724696,0.010502412390586878,0.001,0.0,1000.0,0.0
1300,0.8465,0.011853269591129707,0.8468461538461538,0.01075976384871948,0.001,0.0,1000.0,0.0
1365,0.8468,0.0134064661015994,0.8467399267399267,0.011285116582986024,0.001,0.0,1000.0,0.0
1430,0.8472999999999999,0.012401164819842094,0.8465734265734266,0.010779216149928784,0.001,0.0,1000.0,0.0
1495,0.8475999999999999,0.012094075684675814,0.8464882943143813,0.009801607420438448,0.001,0.0,1000.0,0.0
1560,0.8481,0.011445037740824147,0.846474358974359,0.00883205242967534,0.001,0.0,1000.0,0.0
1625,0.8462999999999999,0.012472636716695748,0.8457846153846154,0.008890361482227892,0.001,0.0,1000.0,0.0
1690,0.8462,0.014785879149452775,0.8456213017751478,0.008626570467029976,0.001,0.0,1000.0,0.0
1755,0.8454,0.016139668177781417,0.8451282051282052,0.009127881848194193,0.001,0.0,1000.0,0.0
1820,0.8455999999999999,0.017167152096696486,0.8456593406593406,0.00958157320606842,0.001,0.0,1000.0,0.0
1885,0.8455,0.016126238109229172,0.8457824933687002,0.008532341043231015,0.001,0.0,1000.0,0.0
1950,0.8446,0.013769531582446811,0.8457948717948718,0.007915286740872112,0.001,0.0,1000.0,0.0
2015,0.8458,0.013172361637577054,0.8459057071960299,0.007530970812301086,0.001,0.0,1000.0,0.0
2080,0.8474999999999999,0.013786063816606797,0.8471153846153847,0.007364823905817959,0.001,0.0,1000.0,0.0
2145,0.849,0.012165525060596446,0.8477855477855478,0.00665595392287244,0.001,0.0,1000.0,0.0
2210,0.8467,0.00992247728924363,0.847420814479638,0.0069865191187760065,0.001,0.0,1000.0,0.0
2275,0.8458,0.00885437744847148,0.8465494505494506,0.006494826748302601,0.001,0.0,1000.0,0.0
2340,0.8467,0.009626929820964601,0.8466666666666667,0.006096466690860764,0.001,0.0,1000.0,0.0
2405,0.8469,0.011130039432894149,0.8466112266112266,0.005542099464436033,0.001,0.0,1000.0,0.0
2470,0.8471,0.010524574417365616,0.8466801619433199,0.005606796173817604,0.001,0.0,1000.0,0.0
2535,0.8469999999999999,0.009752492558885219,0.8465877712031558,0.005831656322845288,0.001,0.0,1000.0,0.0
2600,0.845,0.009261629326299873,0.8457692307692307,0.00620438647823735,0.001,0.0,1000.0,0.0
2665,0.8442999999999999,0.01099545360592277,0.8454784240150094,0.005411131026513801,0.001,0.0,1000.0,0.0
2730,0.8446,0.012249263016379588,0.8452380952380952,0.005395250572719327,0.001,0.0,1000.0,0.0
2795,0.8458,0.013079245645933367,0.8455813953488371,0.004862556920528372,0.001,0.0,1000.0,0.0
2860,0.8417999999999999,0.011735984548955993,0.8444755244755244,0.005416258349698582,0.001,0.0,1000.0,0.0
2925,0.8422000000000001,0.012053584068188565,0.8444444444444444,0.005960887444158184,0.001,0.0,1000.0,0.0
2990,0.8405999999999999,0.011992590304943403,0.8440133779264214,0.005876313295122145,0.001,0.0,1000.0,0.0
3055,0.8376999999999999,0.011738351199759262,0.8437643207855974,0.005732313570252987,0.001,0.0,1000.0,0.0
3120,0.8362999999999999,0.012499333315554589,0.8438461538461539,0.005747029139110007,0.001,0.0,1000.0,0.0
3185,0.8366999999999999,0.011431438132526364,0.843956043956044,0.005692045898853854,0.001,0.0,1000.0,0.0
3250,0.8346,0.01117735806589971,0.8432000000000001,0.005514096453415324,0.001,0.0,1000.0,0.0
3315,0.8358000000000001,0.00989724989861103,0.843288084464555,0.0052792740973748985,0.001,0.0,1000.0,0.0
3380,0.8360999999999998,0.011618471882691307,0.8435207100591716,0.005511135434899815,0.001,0.0,1000.0,0.0
3445,0.8353999999999999,0.010458383134011564,0.8433671988388969,0.005485793792712761,0.001,0.0,1000.0,0.0
3510,0.8371000000000001,0.00968905453477157,0.8438461538461539,0.00541135574261934,0.001,0.0,1000.0,0.0
3575,0.837,0.009006170724070868,0.8435804195804195,0.00505013685825432,0.001,0.0,1000.0,0.0
3640,0.8375999999999999,0.008527081042837076,0.8435164835164836,0.005185447141153505,0.001,0.0,1000.0,0.0
3705,0.8398999999999999,0.00906090503205944,0.8440215924426451,0.004860714815928039,0.001,0.0,1000.0,0.0
3770,0.8391,0.00992695544688525,0.8437400530503979,0.005025730002180366,0.001,0.0,1000.0,0.0
3835,0.8395999999999999,0.009924156835161844,0.8435462842242503,0.005186070018314215,0.001,0.0,1000.0,0.0
3900,0.8427999999999999,0.007728734264634381,0.844051282051282,0.0049907504481585966,0.001,0.0,1000.0,0.0
3965,0.8437999999999999,0.008482662055955967,0.8440857503152586,0.005070409367805669,0.001,0.0,1000.0,0.0
4030,0.8439,0.008033955715862788,0.8439950372208436,0.00449101809106861,0.001,0.0,1000.0,0.0
4095,0.844,0.008906926143924963,0.843980463980464,0.004388740325658812,0.001,0.0,1000.0,0.0
4160,0.8440999999999999,0.00843866761468371,0.8439182692307693,0.003980767295304872,0.001,0.0,1000.0,0.0
4225,0.8459,0.009515484456634027,0.8440473372781065,0.0038171872347594624,0.001,0.0,1000.0,0.0
4290,0.8452,0.009658617338361042,0.8438228438228439,0.0033975464038966978,0.001,0.0,1000.0,0.0
4355,0.8459999999999999,0.013662601021279487,0.8439724454649827,0.00336995024305413,0.001,0.0,1000.0,0.0
4420,0.8462,0.012656135973423245,0.8441402714932126,0.0028547259131597386,0.001,0.0,1000.0,0.0
4485,0.8452,0.012568037060557818,0.8440579710144928,0.0027088236429854903,0.001,0.0,1000.0,0.0
4550,0.8462,0.01227282454132799,0.844131868131868,0.002373445477663467,0.001,0.0,1000.0,0.0
4615,0.8474,0.013040109065665226,0.8442686890574214,0.0022216495916014883,0.001,0.0,1000.0,0.0
4680,0.8475999999999999,0.012249263016379576,0.8447008547008548,0.0022292423267306917,0.001,0.0,1000.0,0.0
4745,0.8488,0.01053881713792714,0.8448261327713382,0.0021075986385930903,0.001,0.0,1000.0,0.0
4810,0.8481,0.012031902038608319,0.8444698544698545,0.0022529451463625325,0.001,0.0,1000.0,0.0
4875,0.8469,0.012836146877730381,0.8445128205128205,0.0018012909227103605,0.001,0.0,1000.0,0.0
4940,0.8464,0.013549907748763454,0.8444939271255061,0.0015933573163989584,0.001,0.0,1000.0,0.0
5005,0.8478999999999999,0.014601750275604359,0.8449150849150848,0.0016497469682734463,0.001,0.0,1000.0,0.0
5070,0.8472999999999999,0.012156845351031212,0.8447140039447731,0.001764278701859427,0.001,0.0,1000.0,0.0
5135,0.8481,0.01094887107321016,0.8446932814021422,0.0017351595462023672,0.001,0.0,1000.0,0.0
5200,0.8503000000000001,0.010573026477262295,0.8450961538461538,0.0015471177418137612,0.001,0.0,1000.0,0.0
5265,0.8492,0.009519570485175401,0.8450332383665717,0.0014112854631376356,0.001,0.0,1000.0,0.0
5330,0.8496,0.008604908160140028,0.8448968105065665,0.0014041382981360474,0.001,0.0,1000.0,0.0
5395,0.8478999999999999,0.009938142012804362,0.8449304911955515,0.0013083384301579364,0.001,0.0,1000.0,0.0
5460,0.8501999999999998,0.008521867296679895,0.8451648351648352,0.0012898766931618271,0.001,0.0,1000.0,0.0
5525,0.8484,0.010731055658953392,0.8448868778280543,0.0012186431298174395,0.001,0.0,1000.0,0.0
5590,0.8484,0.0082758014046308,0.844865831842576,0.0010526055653484144,0.001,0.0,1000.0,0.0
5655,0.8465,0.00922857879993811,0.8448099027409371,0.000983514464585433,0.001,0.0,1000.0,0.0
5720,0.8465,0.010997474457549087,0.84506993006993,0.0011142581261274621,0.001,0.0,1000.0,0.0
5785,0.8475999999999999,0.011974046007001053,0.8451166810717373,0.0010371650821088929,0.001,0.0,1000.0,0.0
5850,0.8477,0.01085305896459097,0.8450256410256409,0.0008066251108461035,0.001,0.0,1000.0,0.0
5915,0.8488,0.011970333699980502,0.8452747252747252,0.0011151809393937975,0.001,0.0,1000.0,0.0
5980,0.8469999999999999,0.012165525060596467,0.8451672240802676,0.001322492402066262,0.001,0.0,1000.0,0.0
6045,0.8472,0.011998148005236284,0.845210918114144,0.0013281094681610289,0.001,0.0,1000.0,0.0
6110,0.8486,0.012321616055624455,0.8452700490998364,0.0014019775759730134,0.001,0.0,1000.0,0.0
6175,0.8456999999999999,0.010562512327408995,0.8451012145748988,0.0013206078081214787,0.001,0.0,1000.0,0.0
6240,0.8465,0.0080863396471388,0.8452564102564102,0.0012418004868414746,0.001,0.0,1000.0,0.0
6305,0.8467,0.007616502551113014,0.8451546391752578,0.0010627670463283607,0.001,0.0,1000.0,0.0
6370,0.8481,0.005363456596884778,0.8454003139717425,0.0008560169564281804,0.001,0.0,1000.0,0.0
6435,0.8477,0.005888784066153033,0.8455167055167057,0.000525457846274654,0.001,0.0,1000.0,0.0
6500,0.8496,0.006058969476000948,0.8456615384615385,0.0002972590101782175,0.001,0.0,1000.0,0.0
