Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
12,0.24166666666666664,0.0828690771676461,0.24166666666666664,0.0828690771676461,0.001,0.0,248.0,0.0
24,0.2,0.07296625298090943,0.2,0.07296625298090943,0.001,0.0,248.0,0.0
36,0.21388888888888888,0.054069634520949754,0.21388888888888888,0.054069634520949754,0.001,0.0,248.0,0.0
48,0.21666666666666665,0.052152731543107185,0.21666666666666665,0.052152731543107185,0.001,0.0,248.0,0.0
60,0.22166666666666668,0.058820715255850774,0.22166666666666668,0.058820715255850774,0.001,0.0,248.0,0.0
72,0.22361111111111112,0.05687100051509975,0.22361111111111112,0.05687100051509975,0.001,0.0,248.0,0.0
84,0.23214285714285712,0.049642841282527,0.23214285714285712,0.049642841282527,0.001,0.0,248.0,0.0
96,0.21770833333333334,0.04321487101867243,0.21770833333333334,0.04321487101867243,0.001,0.0,248.0,0.0
108,0.21388888888888888,0.03915011227265822,0.21388888888888888,0.03915011227265822,0.001,0.0,248.0,0.0
120,0.21583333333333332,0.03756681290845373,0.21583333333333332,0.03756681290845373,0.001,0.0,248.0,0.0
132,0.21363636363636362,0.033463169239348375,0.21363636363636362,0.033463169239348375,0.001,0.0,248.0,0.0
144,0.21875,0.026035235831486092,0.21875,0.026035235831486092,0.001,0.0,248.0,0.0
156,0.22115384615384617,0.028226164131672875,0.22115384615384617,0.028226164131672875,0.001,0.0,248.0,0.0
168,0.22380952380952382,0.025900268050921778,0.22380952380952382,0.025900268050921778,0.001,0.0,248.0,0.0
180,0.22222222222222224,0.02298087712220529,0.22222222222222224,0.02298087712220529,0.001,0.0,248.0,0.0
192,0.225,0.022341261030757516,0.225,0.022341261030757516,0.001,0.0,248.0,0.0
204,0.22745098039215686,0.018942976138809717,0.22745098039215686,0.018942976138809717,0.001,0.0,248.0,0.0
216,0.22777777777777777,0.02102393378509432,0.22777777777777777,0.02102393378509432,0.001,0.0,248.0,0.0
228,0.2293859649122807,0.020988572129834033,0.2293859649122807,0.020988572129834033,0.001,0.0,248.0,0.0
240,0.23374999999999999,0.021735112685624388,0.23374999999999999,0.021735112685624388,0.001,0.0,248.0,0.0
252,0.2342741935483871,0.023851373581758702,0.23333333333333334,0.023047779380555036,0.001,0.0,248.0,0.0
264,0.23629032258064514,0.02398355701418866,0.23522727272727276,0.02502740564996705,0.001,0.0,248.0,0.0
276,0.23911290322580644,0.027679688647142122,0.236231884057971,0.023838511674348462,0.001,0.0,248.0,0.0
288,0.23629032258064514,0.027558680390030763,0.23368055555555553,0.021779565977541798,0.001,0.0,248.0,0.0
300,0.23508064516129035,0.025363725904226097,0.23233333333333334,0.019817064600558685,0.001,0.0,248.0,0.0
