Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
10,0.43,0.14181364924121764,0.43,0.14181364924121764,0.0001,0.0,50.0,0.0
20,0.41500000000000004,0.10287532908007312,0.41500000000000004,0.10287532908007312,0.0001,0.0,50.0,0.0
30,0.3933333333333333,0.1184258897286598,0.3933333333333333,0.1184258897286598,0.0001,0.0,50.0,0.0
40,0.3625,0.0843685697138191,0.3625,0.0843685697138191,0.0001,0.0,50.0,0.0
50,0.362,0.08350648677398262,0.362,0.08350648677398262,0.0001,0.0,50.0,0.0
60,0.33799999999999997,0.05769652406245014,0.35333333333333333,0.0581611214591218,0.0001,0.0,50.0,0.0
70,0.322,0.059962951524716965,0.3485714285714286,0.05993193418115153,0.0001,0.0,50.0,0.0
80,0.324,0.05059644256269408,0.35,0.04249182927993988,0.0001,0.0,50.0,0.0
90,0.332,0.0500666222813829,0.34555555555555556,0.03569801706673033,0.0001,0.0,50.0,0.0
100,0.304,0.06586180818788516,0.333,0.027507574714370337,0.0001,0.0,50.0,0.0
110,0.306,0.05660781257427676,0.33181818181818185,0.026504326794751374,0.0001,0.0,50.0,0.0
120,0.32599999999999996,0.07947046970765652,0.33916666666666667,0.021173154444621676,0.0001,0.0,50.0,0.0
130,0.324,0.059479221395187895,0.33999999999999997,0.01245636697588832,0.0001,0.0,50.0,0.0
140,0.332,0.05181162460726787,0.3407142857142857,0.016165947806445664,0.0001,0.0,50.0,0.0
150,0.352,0.03155242550986461,0.3393333333333334,0.017624337830131863,0.0001,0.0,50.0,0.0
160,0.36,0.03999999999999999,0.340625,0.010724614730194785,0.0001,0.0,50.0,0.0
170,0.32999999999999996,0.04136557881996952,0.33647058823529413,0.00540550931454518,0.0001,0.0,50.0,0.0
178,0.304,0.030983866769659328,0.33146067415730335,0.0,0.0001,0.0,50.0,0.0
