Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
136,0.15588235294117647,0.018275835178732595,0.15588235294117647,0.018275835178732595,0.0001,0.0,1000.0,0.0
272,0.1466911764705882,0.009563535791728762,0.1466911764705882,0.009563535791728762,0.0001,0.0,1000.0,0.0
408,0.14779411764705883,0.010655424078080464,0.14779411764705883,0.010655424078080464,0.0001,0.0,1000.0,0.0
544,0.14963235294117647,0.008587180412428848,0.14963235294117647,0.008587180412428848,0.0001,0.0,1000.0,0.0
680,0.15161764705882352,0.01077205185259316,0.15161764705882352,0.01077205185259316,0.0001,0.0,1000.0,0.0
816,0.14950980392156862,0.010055991523767294,0.14950980392156862,0.010055991523767294,0.0001,0.0,1000.0,0.0
952,0.15199579831932772,0.007639956531919406,0.15199579831932772,0.007639956531919406,0.0001,0.0,1000.0,0.0
1088,0.1518,0.007223418704310153,0.1521139705882353,0.006949323665572158,0.0001,0.0,1000.0,0.0
1224,0.15309999999999999,0.009971626413646536,0.15310457516339868,0.007894785764341291,0.0001,0.0,1000.0,0.0
1360,0.15309999999999999,0.010343543343017856,0.15198529411764705,0.007434595632989529,0.0001,0.0,1000.0,0.0
1496,0.1547,0.0102420701032555,0.15207219251336898,0.006543750069335305,0.0001,0.0,1000.0,0.0
1632,0.1509,0.010774970997640777,0.1514705882352941,0.0061938127562496895,0.0001,0.0,1000.0,0.0
1768,0.1518,0.009840957496323435,0.1512443438914027,0.005606874709993776,0.0001,0.0,1000.0,0.0
1904,0.1514,0.011682845924212516,0.1512079831932773,0.005787646725932971,0.0001,0.0,1000.0,0.0
2040,0.1487,0.012719626130075082,0.14985294117647058,0.007039620757729912,0.0001,0.0,1000.0,0.0
2176,0.1489,0.012224292753911506,0.15055147058823531,0.006238274756972733,0.0001,0.0,1000.0,0.0
2312,0.147,0.014368174708168209,0.15012975778546714,0.006652249759895257,0.0001,0.0,1000.0,0.0
2448,0.14830000000000002,0.0133420804641222,0.15036764705882352,0.0061785271385712895,0.0001,0.0,1000.0,0.0
2584,0.15030000000000002,0.009428679653058533,0.15127708978328175,0.005363782674151278,0.0001,0.0,1000.0,0.0
2720,0.1491,0.006999206304209702,0.15080882352941177,0.004492052660100388,0.0001,0.0,1000.0,0.0
2856,0.1503,0.007528464503321896,0.1509453781512605,0.004051315301999316,0.0001,0.0,1000.0,0.0
2992,0.153,0.006480740698407853,0.15120320855614972,0.003688940662246132,0.0001,0.0,1000.0,0.0
3128,0.15209999999999999,0.008786985325531797,0.15083120204603578,0.0042191952964160066,0.0001,0.0,1000.0,0.0
3264,0.1503,0.007944949478896785,0.15049019607843137,0.004320227138878809,0.0001,0.0,1000.0,0.0
3400,0.15289999999999998,0.007964504588066574,0.1507058823529412,0.004233205730578297,0.0001,0.0,1000.0,0.0
3536,0.1514,0.007515909052728683,0.15104638009049773,0.004333172322540167,0.0001,0.0,1000.0,0.0
3672,0.1523,0.005034326612809752,0.15130718954248365,0.004504591095454324,0.0001,0.0,1000.0,0.0
3808,0.1512,0.006579429222120175,0.15136554621848738,0.004268981312360599,0.0001,0.0,1000.0,0.0
3944,0.1504,0.007662317607037122,0.15114097363083165,0.0042079574798211845,0.0001,0.0,1000.0,0.0
4080,0.1514,0.009143303560529965,0.15105392156862746,0.003833867510936945,0.0001,0.0,1000.0,0.0
4216,0.1563,0.0092861904639811,0.1517552182163188,0.0036262665520448395,0.0001,0.0,1000.0,0.0
4352,0.1562,0.014581571322125144,0.15204503676470588,0.004427918093326451,0.0001,0.0,1000.0,0.0
4488,0.154,0.016158932858054427,0.1517602495543672,0.004785166266315651,0.0001,0.0,1000.0,0.0
4624,0.1526,0.0135990195725035,0.1512975778546713,0.004560591408890733,0.0001,0.0,1000.0,0.0
4760,0.1488,0.012899612397277677,0.15073529411764705,0.004415931072573332,0.0001,0.0,1000.0,0.0
4896,0.1497,0.012120231020900547,0.15071486928104577,0.004456641310286318,0.0001,0.0,1000.0,0.0
5032,0.1482,0.012523755205386462,0.15043720190779014,0.003975666690016867,0.0001,0.0,1000.0,0.0
