Step,PreqAcc_mean,PreqAcc_std,CumAcc_mean,CumAcc_std,BestLR_mean,BestLR_std,WindowSize_mean,WindowSize_std
56,0.0875,0.041624127945350205,0.0875,0.041624127945350205,0.0001,0.0,1000.0,0.0
112,0.09107142857142857,0.02553286974943716,0.09107142857142857,0.02553286974943716,0.0001,0.0,1000.0,0.0
168,0.09345238095238095,0.027067157504420573,0.09345238095238095,0.027067157504420573,0.0001,0.0,1000.0,0.0
224,0.090625,0.019747421901825758,0.090625,0.019747421901825758,0.0001,0.0,1000.0,0.0
280,0.095,0.0164268460101527,0.095,0.0164268460101527,0.0001,0.0,1000.0,0.0
336,0.09791666666666667,0.011263307126575374,0.09791666666666667,0.011263307126575374,0.0001,0.0,1000.0,0.0
392,0.09948979591836735,0.012951995077999842,0.09948979591836735,0.012951995077999842,0.0001,0.0,1000.0,0.0
448,0.10066964285714286,0.013452660790389013,0.10066964285714286,0.013452660790389013,0.0001,0.0,1000.0,0.0
504,0.09861111111111112,0.011758731039612032,0.09861111111111112,0.011758731039612032,0.0001,0.0,1000.0,0.0
560,0.09892857142857144,0.010038192373253709,0.09892857142857144,0.010038192373253709,0.0001,0.0,1000.0,0.0
616,0.09788961038961039,0.008064404668944432,0.09788961038961039,0.008064404668944432,0.0001,0.0,1000.0,0.0
672,0.09702380952380953,0.007805213596337675,0.09702380952380953,0.007805213596337675,0.0001,0.0,1000.0,0.0
728,0.09752747252747253,0.005934744229311227,0.09752747252747253,0.005934744229311227,0.0001,0.0,1000.0,0.0
784,0.0985969387755102,0.006364783137691148,0.0985969387755102,0.006364783137691148,0.0001,0.0,1000.0,0.0
840,0.0975,0.00512657868562497,0.0975,0.00512657868562497,0.0001,0.0,1000.0,0.0
896,0.09799107142857143,0.0045502633486371,0.09799107142857143,0.0045502633486371,0.0001,0.0,1000.0,0.0
952,0.09758403361344538,0.003849948741569596,0.09758403361344538,0.003849948741569596,0.0001,0.0,1000.0,0.0
1008,0.09690000000000001,0.003928528138289629,0.09692460317460318,0.0036540631207834053,0.0001,0.0,1000.0,0.0
1064,0.0973,0.003831158803518558,0.09671052631578947,0.003387227549066546,0.0001,0.0,1000.0,0.0
1120,0.0975,0.004169998667732269,0.09660714285714286,0.0030292882499998743,0.0001,0.0,1000.0,0.0
1176,0.09809999999999999,0.005195083145522203,0.09727891156462584,0.0045031467365613375,0.0001,0.0,1000.0,0.0
1232,0.0988,0.0053707024162994235,0.09707792207792207,0.004399453814757109,0.0001,0.0,1000.0,0.0
